id,cr,reference_en,baseline_prediction,cultural_prediction,CS_prediction,expected_translation,baseline_prediction_csi_match_score,baseline_prediction_csi_match_success
gen_00613,"Seri LWP120 peyi Lachin te dirije miray panèl reskonsab Sync ak RF BT rimòt manifaktirè, distribitè, faktori ak konpayi - pwodwi - Shenzhen Hoion ekleraj co, Ltd","China LWP120 Series Led Wall Panel Dimming Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd","China LWP120 Series Led Wall Panel Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd","China LWP120 Series Led Wall Panel Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd","China LWP120 Series Led Wall Panel Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd",China LWP120 Series LED Wall Panel Dimming Sync Controller with RF BT Remote | LWP120 Series China LED Wall Panel Dimming Sync Controller with RF BT Remote,64.82213438735178,False
ahl_7391_hat_eng,yo pa rele m lòv jan ankò,they don’t call me love anymore,they don't call m goldv as yet,they don’t call me now,they don’t call me when again,they don’t call me that anymore | nobody calls me that anymore,72.0,False
gen_00453,Segondè Rezolisyon dirije Display,High Resolution Led Display,High Resolution LED Display,High Resolution LED Display,High Resolution LED Display,High-Resolution LED Display | High-Definition LED Display,96.2962962962963,True
gen_00891,Nou te jwenn plizyè id pozisyon.,Multiple position ids were found.,We found several idols.,We found several id positions.,We found several id positions.,We found multiple position IDs | Multiple position IDs were found,61.53846153846154,False
ahl_4494_hat_eng,kwa konnen yo,who knows them,the cross know,let them know them,I know them,Who knows? | Your guess is as good as mine,63.63636363636363,False
gen_00558,DMT seri tourèl par double-motè kout pwen an pou machin DMT-300,DMT Series Dual-Motor Driven Turret Punch Machine DMT-300Chat Now,DMT Series Dual-Motor Driven Turret Punch Machine DMT-300,DMT series dual-motor turret molding punch machine DMT-300,DMT Series Dual-Motor Driven Punch Machine DMT-300,DMT Series Dual-Motor Turret Punch Machine DMT-300 | DMT-300 Dual-Motor Turret Punch Press,93.45794392523365,True
ahl_743_hat_eng,e men lòt moun ou konnen konn pa lo de moun yo,and here are other people you know who don’t talk about people,and but others you know that don't housers of people,and here are others you know that there are no batches of people,and others you know how to know not to bathe the two people,and here are some other people you know who don’t gossip | and here are some other people you know who don’t talk behind people’s backs,59.61538461538461,False
gen_01177,epi lang mwen te libere.,and my tongue liberated.,and my language was released.,and my language was released.,and my language was released.,and my tongue was set free | and my tongue was freed,76.92307692307692,True
ahl_2487_hat_eng,atansyon pa kraze,attention do not break,Attention not to break,attention does not break,attention is not broken,be careful | watch out,34.285714285714285,False
ahl_8678_hat_eng,avan male m gen wawòl m tou.,"before I get sick, I also have my say.",I've been my kingdom too.,before I have my kingdom too.,before my male has my kingdom too.,I’ll have my say before I’m out of commission | I want my say before I get sick,43.99999999999999,False
gen_01046,"jwe Wargame 1942 ak koòdone li yo se fasilite diferan endèskriptibl ak disponiblite tout enfòmasyon ki enpòtan ki itil, fè yon diferans nan jwèt lòt menm jan an.","playing Wargame 1942 and its interface is different unspeakable ease and availability of all relevant useful information, make a difference to other similar games.","Play Wargame 1942 with its interface is to facilitate different encrypt and availability all relevant information, making a difference in other similar games.","Play Wargame 1942 with its interface is to facilitate different endless and availability of all relevant information useful, making a difference in other similar games.","Play Wargame 1942 with its interface is to facilitate different inerscript and availability all relevant information useful, make a difference in other similar games.","Playing Wargame 1942 is incredibly easy, and its interface gives you all the useful information you need, setting it apart from similar games. | Wargame 1942 is remarkably easy to play, with a clear interface and all the relevant information at your fingertips, making it stand out from other games.",59.424920127795524,False
gen_01139,"Travay atistik ki akonpaye prezantasyon oswa videyo ""Abinadi Temwaye soiu Jezikri"" (ChurchofJesusChrist.org) ta ka ede yo vizyalize resi a nan Mozya 11–13; 17.","The artwork accompanying this outline or the video ""Abinadi Testifies of Jesus Christ"" (ChurchofJesusChrist.org) could help them visualize the account in Mosiah 11–13; 17.","Artwork accompanying presentations or videos ""Abinadi Tempt soiu Jezikri"" (ChurchofJesusChrist.org) might help them visualize the receipt of Mozya 11–13; 17.",Artwork that accompany presentations or videos “Abinadi Testify soiu Jesus Christ” (ChurchofJesusChrist.org) could help them visualize the receipt of Mozya 11–13; 17.,"Artwork that accompany presentations or videos ""Abinadi Templates soiu Jezikri"" (ChurchofJesusChrist.org) could help to visualize the receipt of Mozya 11–13; 17.",The artwork accompanying this outline or the video “Abinadi Testifies of Jesus Christ” (ChurchofJesusChrist.org) could help them picture the story in Mosiah 11–13; 17. | The artwork that goes with this outline or the video “Abinadi Testifies of Jesus Christ” (ChurchofJesusChrist.org) could help them visualize the events in Mosiah 11–13; 17.,70.06369426751593,False
ahl_10258_hat_eng,m pral legliz,I'm going to church,I'm going to church,I am going to church,I’m going to church,I'm headed to church | I'm off to church,83.33333333333334,True
ahl_13385_hat_eng,Pa gen li.,There isn’t any.,No it.,There is no one.,There is no one.,There isn’t any | None at all,50.0,False
gen_01002,"Woulib lage gaz 60 milimèt, nwa penti, TUV certification","Gas lift 60mm, black painting ,TUV certification","Gas lift 60mm, black painting, TUV certification","Gas lift 60mm, black painting, TUV certification","Gas lift 60mm, black painting, TUV certification","60mm gas lift, black finish, TUV certified | 60mm gas lift, black coated, TUV certified",72.94117647058825,False
ahl_6783_hat_eng,ou ta ta di Monche,you would say Monche,you would say Monche,you would say Monche,you would say Monche,you’d think so | you could say that,73.6842105263158,False
ahl_15076_hat_eng,lè w ap tankou m yèl la pè rele,"when you’re like me, the bird is afraid to call",when you're like the yel scary call,when you’re like I’m afraid of calling,"when you’re like me, they’re afraid to call it","when you’re in my shoes, even the birds stay quiet | when you’ve been through what I’ve been through, even the birds are afraid to sing",59.25925925925925,False
gen_00368,"Pafwa, mwen panse, nou pa rekonèt konbyen Senyè a vle ede nou. Mwen renmen pawòl Eldè David A. Bednar, ki te di:","I sometimes think we don't recognize how very much the Lord wants to help us. I love the words of Elder David A. Bednar, who said:","Sometimes, I think, we do not recognize how much the Lord wants to help us. I love word Eldè David A. Bednar, who said:","Sometimes, I think, we do not recognize how much the Lord wants to help us. I love words Eldè David A. Bednar, who said:","Sometimes, I think, we do not recognize how much the Lord wants to help us. I like word Eldè David A. Bednar, who said:","Sometimes I think we don’t realize how much the Lord wants to help us. I love what Elder David A. Bednar said: | I sometimes feel we don’t fully appreciate how much the Lord is willing to help us. I love the words of Elder David A. Bednar, who said:",89.08296943231441,True
gen_00410,Sète pran nesans jou nan .,s sister was born on in .,Sister takes birth to the day .,Sister takes birth to the day.,Sister takes birth day in .,was born on | was born in,45.833333333333336,False
gen_00669,"Pou bay konsantman paran atravè imèl, suiv etap sa yo.","To provide parental consent by email, follow these steps.","To give parent consent via email, follow these steps.","To provide parent consent via email, follow these steps.","To provide parent consent via email, follow these steps.","To give parental consent by email, follow these steps. | To provide parental consent via email, follow these steps.",92.45283018867924,True
gen_00796,Egzèsis dribbling ki enkòpore kondisyone varye degre kòm vle. Amelyore dribbling ...,Dribbling exercise that incorporates conditioning to varying degrees as desired. Improve dribbling...,Exercise dribbling that incorporates conditioning varies degrees as desired. Improving dribbling...,Exercise dribbling that incorporates conditioning varies degrees as desired. Improve dribbling...,Exercise dribbling that incorporates conditioning varies degree as desired. Improved dribbling...,Dribbling drill with adjustable conditioning levels to improve ball handling... | Dribbling practice that adds conditioning as needed to sharpen dribbling...,65.14285714285715,False
gen_00455,DBKU seri kraze unnit,DBKU series breaking unnit,DBKU series break unnit,DBKU series unnit breaking,DBKU series break down unnit,DBKU series breakdown | DBKU series crash,85.0,True
ahl_267_hat_eng,sa sèlman ou ka di li,that's all you can tell him,that only can you say it,that’s just what you can tell him,that’s just you can tell him,That’s all you can say to him | That’s the best you can tell him,70.83333333333333,False
gen_00512,"l 'a prensipal ak karakteristik nan pwodwi yo 1.It se itilize nan anpil yo D', sit konstriksyon fini netwaye, machin liy bilding elatriye Li ka avèk efikasite adsorbe pati pyès sa yo metal ti tonbe sou tè a. Kenbe san danje, materyèl resikle, netwaye plas la ap travay.","The main usage and characteristic of the products1.It is used in the packing lots, construction site ending cleaning, machine building lines etc. It can efficiently adsorb the small metal parts dropped on the ground. Keep safe, material recycle, cleaning the working place.","usage of main and characteristics of the 1.It is used in the packing lots, construction sites finished cleaning, building line machines etc. It can efficiently adsorbe the small metal parts fall on the ground. Keep safe, recycled materials, cleaning the working place.","The main usage and characteristics of 1.It is used in many machining, construction site cleaning, building line machine etc. It can efficiently adsorbe the small metal parts falls on the ground. Keep safe, recycled materials, cleaning the working place.","l The main and characteristic of the products 1.It is used in many of the packing, construction site finished cleaning, building line machine etc. It can efficiently adsorbe the small metal parts fall on the ground. Keep safe, recyclable material, cleaning the working spot.","Main uses and features of the product. It is widely used for packing areas, construction site cleanup, machine assembly lines, and more. It efficiently picks up small metal parts dropped on the ground, helping keep the area safe, recycle materials, and maintain a clean workspace. | Product features and applications: widely used in packing areas, construction site finishing and cleanup, machine assembly lines, and similar places. It effectively attracts small metal pieces on the floor, improving safety, supporting material recycling, and keeping the work area clean.",66.16822429906541,False
ahl_14500_hat_eng,mal la gen tout fal li nwa ak kèk ti mak nwa soutan.,The bad one has all its feathers black and a few small black spots underneath.,The wrong has all the black headlight and some small black mark over time.,The harm has all its headlight black and some little black marks over time.,the misfortune has all its flaws black and some little black mark on time.,The bad one is all black with a few little black spots underneath | The ugly one is black all over with a few small dark marks underneath,58.26771653543308,False
gen_00179,"Evidaman, evèk la kenbe kle yo pou travay sali a nan pawas la, men li delege responsablite ak otorite a pou travay sa bay prezidan kowòm ansyen yo yon fason pou evèk la ka pase plis tan avèk fanmi pa li, fòtifye jèn yo, epi sèvi kòm jij nan Izrayèl.","Of course, the bishop holds the keys to the work of salvation in the ward, but he delegates responsibility and authority for that work to the elders quorum president so that the bishop can spend more time ministering to his own family, strengthening the youth, and serving as a judge in Israel.","Evidaman, the bishop holds the keys for the work hallway of the parish, but it delegates responsibilities with the authority for this work to provide senior co-ordinates a way of the bishop can spend more time with his family, fortified youth, and serves as judge of Israel.","Evidaman, the evangel holds the keys for the work of the parish, but he delegates responsibility with the authority for that job to give president the former cohort a way of the bish may spend more time with his family, fortify young people, and serve as judges in Israel.","Evidaman, the evangel holds the keys for the salary work in the parish, but it delegates responsibility with the authority for work that gives the president of the former coherent a way of the evangel can spend more time with his family, fortified young, and serve as judges in Israel.","Of course, the bishop holds the keys to the work of salvation in the ward, but he delegates that responsibility to the elders quorum president so he can spend more time with his family, strengthen the youth, and serve as a judge in Israel. | The bishop has the keys to the ward’s work of salvation, but he assigns that responsibility to the elders quorum president so he can focus more on his family, the youth, and his role as a judge in Israel.",71.34502923976609,False
gen_00890,Solèy Shade konpansasyon - Lachin Hebei Samsung Metal Fil may,Sun Shade Netting - China Hebei Samsung Metal Wire Mesh,Sun Shade Netting - China Hebei Samsung Metal Wire Mesh,Sun Shade Netting - China Hebei Samsung Metal Wire Mesh,Sun Shade Netting - China Hebei Samsung Metal Wire Mesh,Sun Shade Netting | China Hebei Samsung Metal Wire Mesh,98.18181818181819,True
ahl_15801_hat_eng,oubyen ou vle chen an manje,or you want the dog to eat,or want the dog to eat,or you want the dog to eat,or you want the dog to eat,or do you want the dog to eat | or would you rather let the dog eat,95.45454545454545,True
proverb_287_hat_eng,Gade pa kreve je.,Looking doesn't blind you.,Look by hollow eyes.,Look at not to creve eyes.,"Look, look at the eye.",Curiosity won’t hurt you | It never hurts to look,35.0,False
ahl_7037_hat_eng,"Li di a, jèn jan twò bal p ap renmen la.",He said that young men who are too flashy won’t be liked there.,"He says, young as too bullet will not like there.","He said, how too many bullets won’t like it.","He said it’s young, as too much as they won’t like it.",He said flashy young men won’t be welcome there | He said guys who show off too much won’t be liked there,60.41666666666667,False
gen_00071,Sa se destine nou vle pou tout moun nou renmen.,That is the destiny we desire for all we love.,That's the destruction we want for everyone we like.,That's the destine we want for everyone we love.,That's the destruction we want for everyone we like.,That’s the future we want for everyone we love | That’s the fate we wish for all those we care about,80.0,True
ahl_6878_hat_eng,se yo kat,they are four,the Cat,they are four,they are four,there are four | the four of them,71.42857142857143,False
ahl_7074_hat_eng,tout kale yo kale li pa vle pale,"They stripped him bare, he doesn’t want to talk.",all the peeled peel it doesn't want to talk,all the peeled peel it doesn’t want to talk,all the peeled they peeled it doesn’t want to talk,"They beat him down, and he still won’t talk | They stripped him bare, but he won’t say a word",51.162790697674424,False
gen_00176,Non Legliz la North Warren legliz Kris la,Name of Church North Warren church of Christ,Name of Church North Warren church of Christ,Name of Church North Warren church of Christ,Name of Church North Warren church of Christ,North Warren Church of Christ | Church of Christ in North Warren,79.45205479452055,True
ahl_10697_hat_eng,"Al tè, ki li difon sa?","On the ground, how deep is it?","So ground, what is it the diffuse?",And then what is this?,"So, what does he diffuse that?",How deep is it? | How far down is it?,46.15384615384615,False
gen_00130,Sa pral envite pouvwa Yo nan lavi nou pou ede nou atravè tout pwoblèm nou epi finalman pou nou ranpli mezi kreyasyon nou.,That will invite Their power into our lives to help us through all our problems and ultimately fulfill the measure of our creation.,This will invite the powers of our lives to help us through all of our problems and finally we complete our creation measures.,This will invite the power of our lives to help us through all our problems and finally to complete the measurements of our creation.,This will invite the powers of our lives to help us through all our problems and finally we complete our creation measures.,That will bring Their power into our lives to help us through every challenge and ultimately fulfill our purpose | It will invite Their power into our lives to guide us through all our troubles and help us reach our full purpose,70.58823529411764,False
gen_00243,Jwèt Solitèr 2 sou entènèt. Jwe pou gratis,Game Solitaire 2 online. Play for free,Game Solitaire 2 online. Play for free,Game Solitaire 2 online. Play for free,Game Solitaire 2 online. Play for free,Solitaire 2 online. Free to play | Play Solitaire 2 online for free,85.29411764705883,True
gen_00423,Dram Film UA,Film UA Drama,Drama Film UA,Drama Film UA,Drama Film UA,UA Drama Film | Drama Film UA,100.0,True
gen_00416,"Papye woulo liv près: Kontre papye woulo liv endistri a bezwen pou domaj gratis ti pen pale ansanm ak yon maksimòm efikasite, VIMAR ofri yon liy plen papye ti pen klanpse ak ti pen près domaj sou zafè pou diminye posiblite pou yo fè lè papye rolls nenpòt moun dyamèt, pwa, oubyen kalite papye. VIMAR ' papye anyan s...","Paper Roll Clamp: Meeting the paper roll industry's need for damage free roll handling with maximum efficiency, VIMAR offers a full line of paper roll clamps and roll clamp damage reduction options to handle paper rolls regardless of diameter, weight or type of paper. VIMAR's rugged paper...","Paper Roll Clamp: Counter Paper Roll Industry is needed for damage free roll handling with maximum efficiency, VIMAR offers a full line of paper roll clamps with roll clamp damage reduction options to handle paper rolls regardless of diameter, weight, or type of paper. VIMAR's paper roll...","Paper Roll Clamp: The industry's paper roll is needed for damage free roll to talk with a maximum efficiency, VIMAR offers a full line of paper roll clamps and roll clamp damage reduction options to handle paper rolls regardless of diameter, weight, or paper type. VIMAR' paper roll are...","Paper Roll Clamp: Counter paper roll industry’s need for damage free roll handling along with a maximum efficiency, VIMAR offers a full line of paper roll clamps and roll clamp damages reduction options to handle paper rolls regardless of diameter, weight, or paper type. VIMAR’s...","Paper Roll Clamp: Meeting the paper roll industry’s need for damage-free handling with maximum efficiency, VIMAR offers a full line of paper roll clamps and damage-reduction options to handle paper rolls regardless of diameter, weight, or paper type. VIMAR’s rugged paper... | Paper Roll Clamp: To meet the paper roll industry’s need for damage-free roll handling and maximum efficiency, VIMAR provides a complete line of paper roll clamps and damage-reduction options for handling paper rolls of any diameter, weight, or paper type. VIMAR’s durable paper...",87.78761061946902,True
gen_00192,"Ijans limyè pouvwa pake pou limyè a desann ak Spotlight anba pouvwa pou 3W 3Hours ijans limyè - pwodwi - Shenzhen Dengfeng pouvwa ekipman pou co, Ltd","Emergency Light Power Pack For LED Down Light And Spotlight Down Power To 3W 3Hours Emergency Light - Products - Shenzhen Dengfeng Power Supply Co.,Ltd","Emergency Light Power Pack For LED Down Light With Spotlight Down Power For 3W 3Hours Emergency Light - Products - Shenzhen Dengfeng Power Supply Co.,Ltd","Emergency Light Power Pack For LED Down Light With Spotlight Down Power For 3W 3Hours Emergency Light - Products - Shenzhen Dengfeng Power Supply Co.,Ltd","Emergency Light Power Pack For LED Down Light With Spotlight Down Power For 3W 3Hours Emergency Light - Products - Shenzhen Dengfeng Power Supply Co.,Ltd",Emergency Power Pack for LED Downlights and Spotlights | 3W 3-Hour Emergency Light Power Pack,75.26881720430107,True
gen_00477,Otomatik sistèm procesna,Automatic packing system,Automatic packing system,Automatic packing system,Automatic packing system,automatic packaging system | automated packing system,91.66666666666666,True
gen_00850,"3, Motocross TG a, - jwèt kous - Gamechit.com (Ayiti kreooli)",TG Motocross 3 - Racing Games - Gamechit.com,"3, Motocross TG - Racing Games - Gamechit.com",TG's Motocross - Racing Games - Gamechit.com,"3, Motocross TG - Racing Games - Gamechit.com",TG Motocross 3 - Racing Game | TG Motocross 3 - Racing Games,74.69879518072288,False
ahl_3645_hat_eng,bon si ou t ap di pran pou vous ki sòt ap di la,well if you were saying take for yourselves what are you saying here,good if you were saying taking to the vous that sap is saying,well if you were saying to take for the sweet thing that’s saying there,well if you were saying to take for the vouses who are saying there,"Well, if you were saying “take it for yourselves,” what are you saying here? | So if you meant “take it for yourselves,” what are you saying now?",65.57377049180329,False
ahl_3810_hat_eng,yon sèl li li bwè li,he alone drank it,one he drinked it,one he dranked him,one he drank it,he drank it all by himself | he was the only one who drank it,78.78787878787878,True
ahl_6739_hat_eng,nan dok yo,in the documents,the dokes,in the doctors,in the doctors,in the paperwork | in the files,66.66666666666667,False
gen_01111,"Moneygram (kondisyonèl, tanpri kontakte nou pou plis detay);","Moneygram (conditional, please contact us for more details);","Moneygram (conditional, please contact us for more details);","Moneygram (conditional, please contact us for more details);","Moneygram (conditional, please contact us for more details);","Moneygram available upon request | Moneygram may be available, please contact us for details",75.21367521367522,True
ahl_15375_hat_eng,ki jan l fèt,how is it made,how it is done,how is he born,how is it made,how do you make it | how is it prepared,64.28571428571428,False
gen_00801,"1. Machin nan se lajman aplikab pou koupe nan materyèl nonmetal nan divès endistri pa kouto mouri. Pou egzanp kwi, kawoutchou, plastik, anbalaj plastik, tekstil ak fib chimik elatriye.","1. The machine is widely applicable for cutting of nonmetal materials in various industries by die cutter. For example leather, rubber, plastic, plastic packing, textile and chemical fiber etc.","1. The machine is widely applicable for cutting of nonmetal materials in various industries by die cutter. For example leather, rubber, plastic, plastic packing, textiles and chemical fiber etc.","1. The machine is widely applicable for cutting of nonmetal materials in various industries by die cutter. For example leather, rubber, plastic, plastic packing, textile and chemical fiber etc.","1. The machine is widely applicable for cutting of nonmetal materials in various industries by die cutter. For example leather, rubber, plastic, plastic packaging, textile and chemical fiber etc.","The machine is widely used for die-cutting nonmetal materials across many industries, such as leather, rubber, plastic, packaging, textiles, and chemical fibers. | This machine is suitable for die-cutting a wide range of nonmetal materials in industries like leather, rubber, plastics, packaging, textiles, and chemical fibers.",77.74647887323944,True
gen_01089,Jezikri k ap souri pandan l chita avèk yon timoun k ap souri,Jesus Christ smiling while sitting with smiling children,Christ Jesus smile while sitting with a smile child,Jesus smile while sitting with a children smile,Jezikri is smiling while sitting with a smile child,Jesus smiling with children | Jesus sitting with smiling children,68.96551724137932,False
ahl_12963_hat_eng,m se bòs m ta fè l,"I’m the boss, I would do it.",I'm boss I'd do it,I am my boss would do it,I would do it.,"I’m the boss, I’d do it | I’m the one in charge, I’d handle it",77.77777777777779,True
gen_01156,(Pou gason laj 11 zan ak pi gran),(For males ages 11 and older),(For boys age 11 years and older),(For boys age 11 years and older),(For men age 11 years and older),For boys 11 and older | For males 11 years and up,77.77777777777779,True
ahl_14828_hat_eng,e pati se chat yo konn bay li a,and the part is the one the cats usually give him,and the cat part is often given to it,and the party is the cat they usually give it to him,and the party is the cat they usually give it to him,and that’s the part he usually gets | and that’s the role he usually plays,54.794520547945204,False
cuisine_57_hat_eng,goud boutèy,Bottle Gourd,Bottle talents,Gourmet Bottle,Gourmet Bottle,calabash | gourd,28.57142857142857,False
gen_00081,Lè ou fin chanje non fichye a epi presize kote ou vle,Once you have renamed the file and specified where you want,When you have changed the worksheet name and specify where you want,When you have changed the file name and specify where you want,When you change the worksheet name and specify where you want,Once you’ve renamed the file and chosen the destination | After renaming the file and selecting where you want it to go,59.70149253731343,False
