id,cr,reference_en,baseline_prediction,cultural_prediction,tri_prediction,expected_translation,baseline_prediction_csi_match_score,baseline_prediction_csi_match_success
cuisine_48_hat_eng,epina,Spinach,Spinach,Spinach,Spinach,spinach|leafy greens,100.0,True
cuisine_80_hat_eng,"yon asyèt Diri Shela,","a plate of Diri Shela,","a dish of Dried Shela,","a dish of Diri Shela,","a dish of Diri Shela,",a plate of rice and beans | a serving of rice and beans,56.41025641025641,False
fanm_109_hat_eng,"Katrin Flon, yon fanm zansèt Yo toujou asosye Katrin Flon ak kreyasyon drapo a jan nou wè sa.","At that time, it represented the union of blacks and mulattoes.","Katrin Flon, a woman ancestress They always associated Katrin Flon with the creation of the flag as we see it.",They always associated Catherine Flon with the creation of the flag.,"Catherine Flon, a woman ancestress They have always associated Catherine Flon with the creation of the flag as we see it.",It symbolized the unity of Black people and mulattoes | It stood for the joining of Blacks and mixed-race Haitians,43.34975369458128,False
ife_94_hat_eng,"Mwen dako. Pa fatige ou,",I agree. Dont worry about me.,"Sorry. I'm not tired of you,","I'm sorry. Don't worry,","I'm sorry. Don't worry,",I agree. Don’t worry about me. | I’m fine. Don’t worry about me.,42.85714285714286,False
ife_300_hat_eng,Se kòmsi li vle al poze men-l nan matris solèy ki kouri louvrije-l nan mitan nyaj pou kabre danje,"It's as though it went after the sun which, fecling threatened to refuge behind a light cloud.",It's as if she wants to lay her hand in the sun's uterus that runs open in the clouds for danger,It is as if she wanted to put her hand in the womb of the sun that runs open it in the middle of the clouds to hide the danger.,It's as if she wants to put her hand in the womb of the sun that runs open it in the clouds to hide the danger,It’s like chasing the sun behind the clouds | It’s like reaching for the impossible,49.68944099378882,False
fanm_47_hat_eng,èd-kasik nan Zaragwa.,Cacique assistant to Xaragua.,help-causers in Zaragoza.,Caspian aid in Zaragoza.,help-cacique in Zaragoza.,chief’s aide | assistant to the chief,34.14634146341463,False
proverb_275_hat_eng,Pale anpil fè kont,dispute,Talk a lot against,Talking a lot makes you angry.,A lot of talk makes sense.,argue | quarrel,34.78260869565217,False
fanm_121_hat_eng,"Moun ki te konnen li di se te yon adolesan pezib, trankil, ki te renmen solitid.",People who knew her said that Ertha was a calm and quiet teenager who liked soli­ tude.,"People who knew him said he was a sober, quiet teenager who loved solitude.",Those who knew her said she was a calm and thoughtful adolescent who loved solitude.,"Those who knew her said she was a peaceful, quiet teenager who loved solitude.","People who knew her said she was a calm, quiet teenager who liked being alone | Those who knew her described her as a peaceful, reserved teen who enjoyed solitude",81.11888111888112,True
fanm_54_hat_eng,Anriyèt Senmak,Henriette Saint-Marc,Anriyèt Senmak,Henriette Senmak,Henriette Senmak,Henriette Saint-Marc | Henriette St. Marc,57.14285714285714,False
ife_547_hat_eng,"Premye kadè nou nan Randolph Avni, se te eskonbrit souf nou dekoupe ak sakad ritme kò nou nan melodi frison vwa ou ki te vle vare sou somèy Inosans.","Breathless, we arrived at Cité Randolph our bodies trembling with pent-up pleasure and our voices full of joyful notes that could awaken the innocent.",Our first starring role at Randolph Avenue was to unravel our soul and unpack our body rhythm in melody to thrill your voice that wanted to linger on sleepless innocence.,Our first starring role at Randolph Avenue was in the exuberance of our soul unraveling and our body's rhythmic backdrop in the melody of your voice that swayed the sleep of innocence.,Our first starring at Randolph Avenue was the strangulation of our breath and the rhythmic shaking of our bodies in the melody of your voice that swayed over the sleep of innocence.,"Breathless, we reached Randolph Avenue, our bodies shaking with restrained desire and our voices humming with delight that could stir the innocent | At Randolph Avenue, we arrived out of breath, our bodies quivering with pent-up pleasure and our voices carrying a thrill that could rouse innocence",53.73134328358209,False
charlemagne_88_hat_eng,"La, li jwenn anviwon 200 prizonye ki t ap travay nan yon chantye pou fè wout. Li diskite avèk yo.",he invited 200 prisoners to follow him in the mountains.,"There, he found about 200 inmates working in a roadside winery. He chatted with them.","There, he found about 200 inmates working in a shipyard to make roads. He chatted with them.","There, he found about 200 inmates who were working in a road construction yard. He argued with them.",He found about 200 prisoners working on a road project and talked with them | He met around 200 prisoners laboring on a road construction site and spoke with them,72.5,False
proverb_264_hat_eng,Tanga pi rèd pase rad.,Old clothes are better than Sunday best.,Tang is harder than clothing.,Tang is harder than clothes.,Tangerine is stronger than clothing.,Old clothes are better than Sunday best | Worn clothes are better than fancy clothes,58.62068965517242,False
proverb_361_hat_eng,Ti pwason swiv kouran.,People are shaped by the world around them.,Small fish follow the stream.,Small fish follow the flow.,Small fish follow the flow.,People follow the current | People are influenced by their surroundings,57.692307692307686,False
ife_144_hat_eng,li gen pou l' blayi.,"Whatever the dream, Soul, if it starts off on the wrong path, it will fall by the wayside. I am slow, it's true. No one can build a dream in the space of a heartbeat.",It's there for him to blayi.,It's there for her to bliss.,It's there for her to bliss.,it’s bound to fall apart | it won’t last long,45.833333333333336,False
proverb_303_hat_eng,Madichon pa pè nan nwit.,Badluck/evil spell isn't afraid at night.,Madichon is not afraid of night.,Curse does not fear at night.,A curse does not frighten at night.,Bad luck doesn’t sleep at night | Evil works best in the dark,47.61904761904761,False
ife_585_hat_eng,Chak fwa koze sa yo klere lespri mwen.gen youn lide ki louvri je mwen sou divès etap nou pase sou wout lavi nou.,Each time these words illuminate my spirit a stream of ideas opens my eyes on the road we have travelled so far.,Whenever these conversations illuminate my mind.there is one thought that opens my eyes on the various stages we go through on our life journey.,"Each time these words illuminate my spirit, there is one thought that opens my eyes to the various stages of our life's journey.","Each time these words illuminate my spirit, there is an idea that opens my eyes to the various stages of our life's journey.","Every time I hear those words, they light up my mind and open my eyes to the journey we’ve been on. | Those words always inspire me and help me see more clearly the path we’ve traveled together.",50.98039215686274,False
proverb_375_hat_eng,Lenj sal lave an fanmi,don’t put your business out there,Family laundry detergent,The family's dirty laundry,The dirty tongue is washed in the family,keep it in the family | don’t air your dirty laundry,55.55555555555556,False
proverb_20_hat_eng,Bèl dan pa vle di zanmi : dan pa kè.,Beautiful smiles do not mean friends: smiles are not the heart.,Pretty teeth don't mean friend : nice teeth.,A beautiful tooth does not mean a friend: a tooth does not mean a heart.,A beautiful tooth does not mean a friend: a tooth does not mean a heart.,Looks can be deceiving | A smile doesn’t always mean friendship,50.0,False
zile_2_hat_eng,BÈLDRIV,LONG AGO,BALDRIVES,BEDRIDIVS,BEDRIDIVE,"once upon a time | long, long ago",33.333333333333336,False
fanm_307_hat_eng,"Men, rive Etazini, grann nan vin agrandi fanmi an.","But on arrival in the United States, the grandmother came to expand the family.","But when she came to the United States, her grandmother expanded the family.","But when she arrived in the United States, her grandmother expanded the family.","But when she arrived in the United States, her grandmother expanded the family.","But once they got to the United States, the grandmother helped the family grow. | But after arriving in the United States, the grandmother became part of the growing family.",83.22147651006712,True
ife_176_hat_eng,"Pi bèl amoni an, se amoni ou kreye anndan pwòp tèt ou pandan ou ap analize tout aksyon ou ansanm ak tout kalite pawòl ki abitye soti nan bouch ou.",The most meaningful harmony is born from you when you reflect on all of your actions and of all the words you utter.,"The most beautiful harmony, is the harmony you create inside yourself as you analyze all your actions and all kinds of familiar words coming out of your mouth.",The most beautiful harmony is the harmony you create inside yourself as you analyze all your actions and all the familiar words that come out of your mouth.,The most beautiful harmony is the harmony you create inside yourself as you analyze all your actions and all the familiar words that come out of your mouth.,The deepest harmony comes from self-reflection and mindful speech | True harmony is created within by examining your actions and words,51.66666666666666,False
fanm_56_hat_eng,"Anriyèt deside pase yon kwa sou tout kalite sa yo,",Henriette decided to  set aside these fine qualities.,"Before deciding to pass a cross over all these qualities,","Henriette decided to crucify all these qualities,","Henriette decided to cross over all these qualities,",Henriette decided to put all that aside | Henriette decided to let all that go,52.08333333333333,False
proverb_142_hat_eng,"Nan bay kout men, ou jwenn kout pye","You give a hand, but [you may] get kicked out.","In kicking hands, you get kicks","In shaking hands, you get shots","In shaking hands, you get shots",No good deed goes unpunished | Help someone and get kicked in the teeth,48.38709677419355,False
cuisine_63_hat_eng,mayi,Corn,Corn Bulb,corn,corn,corn|maize,61.53846153846154,False
expression_64_hat_eng,Ou konn kouri ou pa konn kache,A guilty person will be caught sooner or later,You either run or you don't know how to hide,"You know how to run, you do not know how to hide.","You know how to run, you do not know how to hide.","You can run, but you can’t hide | You can’t escape the truth",56.00000000000001,False
proverb_157_hat_eng,Ougan pa janm geri maleng li.,The ‘ougan’ (Medecine Man) never cures his own illness.,Ougan never cured his malangel.,Huguane never cured his illness.,Huguenot never heals his illness.,No one can fix their own problems | A healer can’t heal himself,48.275862068965516,False
ife_431_hat_eng,Souke kò ou.,Wake up!,Shake your body.,Shake your body.,Shake your body.,Get moving! | Shake it off!,55.172413793103445,False
charlemagne_126_hat_eng,Yo te antere kadav la ak gran sekrè nan Chabè toupre Twoudinò.,Burried in a secret place at « Chabert » clost to the » Trou du Nord ».,The body was buried secretly in Chabè near Twoudinò.,The body was buried in great secrecy in Chabé near Troudinore.,The body was buried secretly in Chabé near Trou du Nord.,"The body was secretly buried in Chabert near Trou du Nord | They buried the corpse in a hidden spot in Chabert, close to Trou du Nord",75.72815533980582,False
ife_148_hat_eng,"maladi,","sickness,","Diseases,","illness,","illness,",illness | disease,87.5,True
ife_99_hat_eng,"Sepandan, ou pa dwe janm bliye sa, jounen jodi a, se twa timounn yo ak mwen, nou kat la ki pran nan eto.","However, never forget the four of us, you, myself, the children we are in a squeeze.","However, you must not forget that, today, it is the three boys and I, the four of us who are here.","However, you must never forget that today, it is these three children and me, the four of us who are here.","However, you must never forget that today, it is the three children and me, the four of us who are here.","However, never forget that the four of us are all in this together. | But don’t forget, the four of us are all struggling right now.",58.33333333333333,False
proverb_222_hat_eng,Tete pa janm twò lou pou mèt li.,Breasts are never heavy for their owner.,The first is never too heavy to master.,A breast is never too heavy for its owner.,A breast is never too heavy for its owner.,What’s yours is never a burden | You never mind carrying your own load,53.84615384615385,False
ife_227_hat_eng,mwen te pran chans mande ou youn prenmye bo pou nou te sele ako sekrè nou te siyen ant nou de a.,I ventured to ask for that first kiss that would seal the secret pact we had made.,I took the chance to ask you one first kiss so that we would have sealed the secret we signed between us.,I took the chance to ask you for a first kiss so that we would seal the secret agreement signed between us.,I took the chance to ask you for a first kiss to seal the secret agreement we signed between us.,I took a chance and asked for our first kiss to seal our secret pact | I dared to ask for that first kiss to seal the secret agreement between us,64.83516483516483,False
zile_159_hat_eng,Lè fanm ap goumen,When a woman fights,When women are struggling,When women fight,When women fight,When a woman is fighting | When women are at odds,68.08510638297872,False
fanm_263_hat_eng,"Wi yo vle travay,","Yes, they want to work.","If they want to work,","They want to work,","If they want to work,","Sure, they want to work | Yes, they do want to work",85.71428571428572,True
zile_67_hat_eng,trase chema fedatifis,the course of fireworks,traced chema fedatifis,Draw stunning schemes,drawing shema de fétichis,fireworks display | fireworks show,34.285714285714285,False
fanm_181_hat_eng,resevwa lèt kreyans anbasadè ki vin reprezante peyi yo nan Kanada;,"preside over the swearing-in ceremony of the Prime Minister, the President of the Supreme Court, the Council of Ministers;",Receive letters of credentials from the ambassador who comes to represent their country in Canada;,receive letters of credence from the ambassador who comes to represent their country in Canada;,receive the letter of creed from the ambassador who comes to represent their country in Canada;,receive the credentials of ambassadors appointed to represent their countries in Canada | receive the letters of credence of ambassadors accredited to Canada,80.0,True
fanm_347_hat_eng,pou yon pi bèl viktwa pi devan!,"Without resting, carry our flag high, go to vic­tory!",for a more magnificent victory ahead!,For a better victory ahead!,For a better victory ahead!,Onward to victory! | Keep our flag flying high!,50.90909090909091,False
ife_153_hat_eng,"fwa sa a, pou nou pèmèt reyalizasyon nou yo rete entak.",We should strive to keep our achievement intact–,"This time, let our achievements remain intact.","This time, to allow our achievements to remain intact.","This time, to allow our achievements to remain intact.",let’s make sure this time our progress stays intact | we need to preserve what we’ve achieved,54.347826086956516,False
cuisine_122_hat_eng,plat sa a konbine gou sansib nan poul ak gou kroustiyan ak yon ti kras dous nan nwa kajou.,this dish combines the tender taste of chicken with the crunchy and slightly sweet flavor of cashew nuts.,This dish combines the tender flavor of chicken and crunchy flavor with a slightly sweet flavor of black cabbage.,This dish combines the tender taste of chicken with the crispy taste and a little sweetness of cashew nuts.,This dish combines the tender taste of chicken with the crispy taste and a little sweetness of cashew nuts.,"This dish blends tender chicken with crunchy, lightly sweet cashews | Tender chicken paired with the crisp, subtle sweetness of cashew nuts",61.79775280898876,False
cuisine_5_hat_eng,"pa janm sispann etone ak richès kiltirèl li yo,","never ceases to amaze with its cultural richness,","never cease to amaze with its cultural richness,","Never cease to amaze with its cultural richness,","Never ceases to amaze with its cultural richness,",never fails to impress with its cultural richness | continues to amaze with its rich cultural heritage,83.33333333333334,True
cuisine_2_hat_eng,Lis 25 pi bon plat ayisyen an 2025:,List of the 25 Best Haitian Dishes in 2025:,List of 25 best Haitian dishes in 2025:,The list of the 25 best Haitian dishes in 2025:,The list of the 25 best Haitian dishes in 2025 :,Top 25 Haitian Dishes of 2025 | 25 Best Haitian Foods in 2025,78.87323943661973,False
proverb_341_hat_eng,"Fè nèg byen, se bay Bondye.",Do not necessarily expect to be rewarded on earth,"To do good fellows, it is from God.",To do good is to give to God.,To do good to people is to give to God.,Do good without expecting anything in return | Good deeds aren’t always rewarded here on earth,50.98039215686274,False
ife_25_hat_eng,"Malgre pyes mounn pa te vann nou li,","It was ours,","Despite the fact that no one sold it to us,","Although no one sold it to us,","Although no one sold it to us,",It belonged to us | It was ours to keep,45.16129032258065,False
ife_429_hat_eng,"ou va santi, mwenimenl tou, mwen rantre nan ri ansanm avèk ou.",you will feel that I too will be shaken by the contagion of spirit shall free itself from the bonds of suffering and you shall our laughter.,"You shall feel, I too, that I join you in laughter.",You will also feel me laughing with you.,"You will feel that I, too, am laughing with you.","you’ll feel it too, I’ll be swept up in it with you | you’ll sense that I’ll join you in laughter and release",72.54901960784314,False
fanm_191_hat_eng,• Prezidan Konsèy Administrasyon Enstiti Wotzetid Kebèk nan Inivèsite Laval (Oktòb 2010).,"• Special Envoy for UNESCO in HAITI (October 1, 2010);",• President of the Board of Directors of the Institut de Haute-Etudes du Québec at Université Laval (October 2010).,• Chairman of the Board of Directors of the Université de Laval (October 2010).,• President of the Board of Directors of the Université Laval (October 2010).,Chairman of the Board of the Quebec Institute of Higher Education at Laval University (October 2010) | President of the Board of Directors of the Quebec Institute of Higher Education at Laval University (October 2010),76.52173913043478,False
zile_33_hat_eng,Pou Hugues Lamour ak Garry Gauthier,For Hugues Lamou and Garry Gauthier,Pou Hugues Lamour and Garry Gauthier,Pou Hugues Lamour and Garry Gauthier,For Hugues Lamour and Garry Gauthier,For Hugues Lamour and Garry Gauthier | To Hugues Lamour and Garry Gauthier,97.14285714285714,True
proverb_313_hat_eng,Mèt kò pa grate kò,You always need someone else to help you.,Master does not scratch the body,The master of the body does not scratch the master of the body,A master does not scratch the body,You can’t do it alone | You need help from others,42.10526315789473,False
proverb_104_hat_eng,Koulèv ki vle gwo rete nan trou-l.,The snake that wants to get big stays in its hole.,Snakes that want to be big stay in the trough.,The snake that wants to be big stays in its hole.,The snake that wants to be big stays in its hole.,Stay in your lane | Know your place,44.44444444444444,False
cuisine_94_hat_eng,"Plat sa a, prepare ak vyann kabrit ki byen sezonman ak mitone nan yon sòs ki rich nan epis santi bon,","This dish, prepared with well-seasoned goat meat and simmered in a sauce rich in spices,","This dish, prepared with seasoned goat meat and seasoned in a sauce rich in spices,","This dish, prepared with seasoned goat meat and simmered in a sauce rich in spices,","This dish, prepared with seasoned goat meat and simmered in a sauce rich in spices,","This dish, made with seasoned goat meat and a rich spiced sauce | A flavorful goat dish simmered in a fragrant, spicy sauce",77.6978417266187,False
zile_186_hat_eng,youn bél karako lalin de boul je,a robe of moonlight two round eyes a pair of golden wings,One beautiful carako moon of eyeballs,a charm carako moon with two balls of eyes,a beautiful moon's caracotta with two balls of eyes,a radiant figure with moonlit eyes and golden wings | a luminous being with bright eyes and golden wings,45.070422535211264,False
zile_220_hat_eng,Ki ka ban nou zèl toutrèl Pou n' monte nan syèl,that give us wings of doves so that we rise to the sky,Which can give us turret wings To ascend into heaven,That can give us turtle wings To climb into the sky,That can give us turret wings To climb into the sky,give us peace and freedom | lift us heavenward with gentle wings,51.06382978723405,False
cuisine_179_hat_eng,"Tassot se vyann bèf ki marin,","Tassot is a marinated beef,","Tassot is beef that belongs to the navy,","Tassot is beef that is marinated,","Tassot is beef that is marinated,",marinated beef | seasoned beef,46.15384615384615,False
proverb_88_hat_eng,"Je wè, bouch be.","The eyes see, the mouth is silent.","I see, mouth be.","I can see, I cant breathe.","I can see, I cant breathe.","See no evil, speak no evil | What the eyes see, the mouth keeps quiet",75.0,False
zile_94_hat_eng,« Dèy o ! N'a rele dèy o ! Ayiti ! »,"« Mourning 0, We cry out in mourning, O Haiti !»", Weep! Weep! Haiti! ," Weeping, weeping, for Haiti!"," Desolations, desolations, desolations, desolations, desolations ","We mourn, O Haiti! | Crying out in grief, O Haiti!",60.0,False
ife_201_hat_eng,Ou retounen,You comne back,Or return,You return,You return,You’re back | You came back,42.85714285714286,False
proverb_312_hat_eng,Meprize vo mye pase reponn.,To ignore someone is stronger than answering.,Despicable Me More Than Answering.,Contempt is worth more than answering.,Deprecating is worth more than answering.,Ignoring is better than replying | Silence is stronger than a response,51.515151515151516,False
zile_208_hat_eng,MIYAMI,MIAMI,MIYAMI,MIAMI,MIAMI,"Miami | Miami, Florida",90.9090909090909,True
expression_54_hat_eng,Chak jou pa dimanch,you may not get the same results all the time,Every day on Sunday,Every day is not a Sunday,Every day is not a Sunday,every day isn’t Sunday | things don’t always turn out the same,78.94736842105263,False
proverb_256_hat_eng,Bèf ki bèf pran souf.,Even the ox takes a break,Cow that takes breath.,The ox takes a breath.,The ox takes a breath.,Everyone needs a break | Even the strongest need rest,45.45454545454546,False
