id,cr,reference_en,baseline_prediction,cultural_prediction,tri_prediction,expected_translation,cultural_prediction_csi_match_score,cultural_prediction_csi_match_success
ahl_11830_hat_eng,nou ki sa l ap di?,What is he saying?,What shall I say?,what is he saying?,What is he saying?,What’s he saying? | What is he saying?,100.0,True
ahl_8107_hat_eng,Anse yon zèl kouwizyè,A hummingbird wing,Anse yon zèl kouryèzer,Anse a dove's wings,Anse a criciers wings,tiny and delicate | something very small,47.36842105263158,False
ahl_1845_hat_eng,paske lòt la l ap vole,because the other one is flying,for the others will fly,because the other one is flying,because the other one is stealing,because the other one is cheating | because the other one is taking advantage,90.32258064516128,True
ahl_8689_hat_eng,sw ap apa l konsa an,"you’re separating it like that, huh",This is how its done.,youre separating it like that,youre separating it like that,"So you’re splitting it up like that, huh | You’re breaking it apart like that, huh",75.86206896551724,False
ahl_238_hat_eng,si w ap di l monte,if you are telling him to go up,If you say its up,if you are telling him to go up,if you are telling him to go up,if you’re telling him to come up | if you’re asking him to go upstairs,87.09677419354838,True
ahl_2003_hat_eng,entwis li konn tout li konn ap devaste aden moun,"Meanwhile, he knows everything; he knows how to devastate people.",His intuitive knowledge of all things will devastate the human mind,"Intuitively, he knows everything; he knows how to devastate people.","He knows everything, he knows how to devastate people.","Meanwhile, he knows everything and how to tear people down | He acts like he knows it all and can devastate people",71.66666666666667,False
ahl_9313_hat_eng,K ap bagag,What’s going on?,K ap luggage,Packing things,Packing things,What’s happening? | What’s up?,42.85714285714286,False
ife_390_hat_eng,"Se sa tou ki lakòz, aprèmidi a, nanpwen youn tay boulva,ki pote non pwomnad, mwen pa ta apante avěk ou pou mwen ansanse vwa ou.","That is why this afternoon, there is no boulevard or drive that I would not haunt with you.","Whatever the reason, this afternoon, in the midst of a headache, which does not accompany me, I would not like to hear your voice so that I can raise your voice.","Thats the reason why, this afternoon, there wasnt a lot of noise, which is why I didnt want to hear you sing, so I could raise your voice.","That is the reason why, this afternoon, there is not a single kind of noise, which carries the name of promenade, I would not be able to sing with you to raise your voice.","That’s why this afternoon, I’d gladly stroll every boulevard with you | That’s why this afternoon, I’d walk with you anywhere, down every road and avenue",51.764705882352935,False
ahl_8771_hat_eng,donk men Mwen te la pou ou,So here I was there for you,Dont worry I was there for you,so here I was there for you,so here I was for you,So I was there for you | So here I was for you,89.79591836734694,True
ahl_11075_hat_eng,ou di bon,you say good,Good or bad,you said good,you said good,that’s good | sounds good,69.56521739130434,False
ahl_2000_hat_eng,wa konnen yo?,Do you know them?,Do you know of them?,Do you know them?,Do you know them?,You know them? | Do you know who they are?,90.32258064516128,True
ahl_332_hat_eng,wi l ale men lè l pase a sa l fè,yes he goes but when he passes by what he does,"Yes I am, but Im not sure what Im doing","yes he goes but when he passes by, what does he do","yes he goes but when he passes by, what does he do","Yes, he goes, but when he passes by, what does he do? | Sure, he goes, but what does he actually do when he passes by?",96.0,True
ahl_6182_hat_eng,nou pou kòden,we are for the cordon,new order codes,we are going to rope,we are for rope,we’re on the cordon | we’re part of the cordon,63.1578947368421,False
ahl_4202_hat_eng,bò kri yon yo rele l,near the edge they call it,kri yon yo rele l,"by the wheelbarrow, they call it","by the wheel, they call him","by the edge they call it | near the edge, as they say",78.57142857142857,False
ahl_13278_hat_eng,Sèva bouch li ki chèch.,His lips are dry.,Serve the dried lip.,Serve the dry mouth.,Serve his dry mouth.,He’s thirsty | His mouth is dry,55.00000000000001,False
ahl_4309_hat_eng,bafwa moun nan konn fini,sometimes the person ends up finishing,The dead know no end,"If the person is late, they know how to finish it.","If the person is late, they know how to finish it.",sometimes it ends badly | sometimes things go too far,45.16129032258065,False
ife_369_hat_eng,Malgre tout fos Tout pisans nou Se tanzantan Remontan prezans Tanpe tan pase Nan siyay rasin nou Kote chak kouch fimye Ki sopoudre lavi-n Chak reyon soley Ki anpare-l,"Though we feel strong and powerful Time after time a mere presence Will let its sap fill us to the core. Precious moments of days gone by, When the dead leaves kiss the clay.",Despite all the faults All our power Is intermittent Recurring presence Temples time passes In our roots where each layer of moss is softened Life-n Each ray of sunshine is ready,"In spite of all our strength and strength, the presence of the Temples of time passes through the silos of our roots, where every layer of fireworks engulfs our life, where every ray of sunlight engulfs it.",In spite of all our strength It is the presence of temples that passes from time to time In the spark of our roots where every layer of fumice that undercuts our life Every ray of sunlight that embraces it,"Though we may feel strong and mighty, time and again a quiet presence fills us to the core. | In the shadow of our roots, fleeting moments of the past return, where each layer of earth nourishes life.",51.50684931506849,False
ahl_5050_hat_eng,"OK, sa gason yo konn mete an barad yo an.","OK, that’s what men usually put up as a barrier.","OK, that's what men usually wear.","OK, thats what men usually put in their posts.","OK, thats what men usually put in their posts.","Okay, that’s the kind of barrier men usually put up. | Okay, that’s the sort of barrier men tend to put up.",58.69565217391304,False
ahl_12621_hat_eng,"Men, invesi la, m pa konprann.","But, instead, I don’t understand.","But in this case, I do not understand.","But, on the other hand, I dont understand.","But, in this case, I dont understand.","But instead, I don’t get it. | But I don’t understand it.",64.70588235294117,False
ahl_11527_hat_eng,ou langen gen,you have a tongue,ou langen gen,you dont have any,you dont have any,you’re talkative | you’ve got a sharp tongue,58.82352941176471,False
ahl_1302_hat_eng,Se yon ti gason,It is a little boy,Hes a boy,It is a little boy,It is a little boy,It’s a boy | He’s just a little boy,87.5,True
ife_364_hat_eng,Pafwa se youn pafen ki ba li nanm.,Sometimes it's a simple word that wakens it from its sleep.,Sometimes it is one perfume that gives it soul.,Sometimes it is a perfume that gives it soul.,Sometimes it is a perfume that gives it soul.,Sometimes it’s just one word that brings it to life. | Sometimes a single word is enough to stir it awake.,65.1685393258427,False
ahl_2880_hat_eng,se Se jenm,it’s just a gem,It's genome,Its just me,Its just me,it’s just a gem | it’s a real gem,85.71428571428572,True
ahl_10946_hat_eng,ki jan yo rele,what is it called,how to shout,what are they called,what are they called,what’s it called | what do they call it,75.0,False
cuisine_215_hat_eng,- Kwit ak pure breadfruit la:,- Cook and puree the breadfruit:, Cook with the pure breadfruit:,- Cook with breadfruit puree:,- Cook and puree the breadfruit:,Cook and mash the breadfruit | Prepare the breadfruit puree,80.0,True
ahl_868_hat_eng,isa l t ap fè la,What was he doing there,I aint doing it,what he was doing there,what was he doing there,What was he doing there | What was he up to there,86.95652173913044,True
ahl_9633_hat_eng,met demenn mwen,put me off until tomorrow,met my demenn,put me out,put me out,postpone me until tomorrow | delay me until tomorrow,60.0,False
ahl_11896_hat_eng,"Ou kapab e m, ou pa vle, m pa kapab fòse ou ki sòt ka di lan.","You can and I can’t, you don’t want to, I can’t force you, who can say that.","You may or may not, I cannot compel you to do this.","You can, and I, you dont want to, I cant force you to say that nonsense.","You can, and I, if you dont want to, I cant force you to say the same thing.","You can, but I can’t force you | If you don’t want to, I can’t make you",72.72727272727273,False
ahl_9971_hat_eng,li pa diyen an kwèn,he didn’t say anything at all,Its not the only ones,He didnt say it at all.,He doesnt believe in it.,he didn’t say a word | he didn’t utter a thing,76.92307692307692,False
ahl_9919_hat_eng,moun ki lòb jan.,people who are awkward.,The man of sorrows knows.,people who are crazy.,people who are crazy like that.,awkward people | socially awkward people,52.38095238095239,False
ahl_1120_hat_eng,te cheve lwouj,had red hair,Your hair is red ,the hair was red,the hair was red,had red hair | was red-haired,81.25,True
ahl_3746_hat_eng,se konsa yo rele li,that's what they call it,that's what they call it,that's what they call it,that's what they call it,that’s what they call it | that’s the name for it,95.83333333333334,True
ife_124_hat_eng,Mwen konte sou ou.,I am counting on you.,I rely on you.,I count on you.,I count on you.,I’m relying on you | I’m depending on you,72.0,False
ahl_1056_hat_eng,men ou pa ka ap di ta esanpis won moun ou rezilen joure,but you can’t keep saying that about someone you’re insulting every day,But you cant say that you wont be disappointed in your resilient oppression,but you cant be saying that for example someone you resist cursing,"but you cant be saying that, for example, someone you resign yourself to cursing",but you can’t keep insulting someone like that every day | you can’t go on talking that way about someone every day,55.55555555555556,False
ahl_15772_hat_eng,pòp di: an,pope says: a,pop di: an,pop said: ah,pop said: ah,the pope says so | if the pope says so,58.33333333333333,False
ahl_10798_hat_eng,Tankou lò w kapab lage dlo a,Like when you can let the water go,Like gold you can release the water,Like when you can let the water go,Like when you can let the water go,when you can finally let it go | when you’re able to release it,65.625,False
ahl_12342_hat_eng,li ta antre.,he would enter.,He/She would enter.,he would enter.,he would enter.,he’d come in | he would go in,68.96551724137932,False
proverb_147_hat_eng,"Nèg fè lide-l, Bondye ba-l dwa.","The man gets the idea, God authorizes it.","Man to man, God gives him right.","A man makes his own decision, God gives him the right.","A man makes his own decision, God gives him the right.","Man proposes, God disposes | If God wills it, it happens",50.98039215686274,False
ahl_7279_hat_eng,lwil dòm Nazè,Nazareth oil,Nazareth oil,Natirèlòm lwil,Nazareth oil,holy oil | anointing oil,52.17391304347826,False
cuisine_45_hat_eng,radi,Raddish,radi,radius,radius,radish | turnip,90.9090909090909,True
ahl_7425_hat_eng,doukwa chonje sa yo t ap di a,remember what they were saying,Do remembrance that they will not say a,Do you remember what they were saying?,Do you remember what they were saying?,remember what they said | keep in mind what they were saying,75.40983606557377,False
ahl_12887_hat_eng,"Lè kann yo kankou fin rive kote pye ou te rive, li lage flèj.","When the cane stalks have reached about where your feet reached, it sheds its tassels.","When the canned larvae reach the place where your feet have reached, it releases fleas.","When the cane, like a cane, reaches the place where your feet have reached, it loses its flaws.","When the cane had finally reached the place where your foot had reached, it let loose.","When the cane is about knee-high, it starts to tassel | When the cane reaches your feet, it begins to flower",59.863945578231295,False
ahl_4272_hat_eng,Moun nan rap pran pòz yon afè,The person in the rap is pretending to be something.,The rapper pretended to be an affair,The rap person is pretending to be an affair,The rap person is pretending to be an affair,Putting on airs | Acting like a big shot,46.15384615384615,False
ahl_7426_hat_eng,douch sou an.,shower on it.,shower on an.,shower on top.,shower on top.,sprinkle it on | pour it on,44.44444444444444,False
ahl_8318_hat_eng,"MEN, ta gen an yon kounm menman Zoyi an?","But, would there be one like Zoyi’s?","MEN, would there be an enormous amount of Zoyis?","BUT, would there be such a thing as Zoyi?","BUT, would there be such a thing as Zoyi?",Would there be one like Zoyi’s? | Is there anyone like Zoyi’s?,63.888888888888886,False
ahl_10149_hat_eng,On ka p ap gen pòt kay la la,There may not be a door to the house there,No one will be able to open the door of the house,There may not be a door in the house.,There may not be a door in the house.,There may not be a door there | There might not be a way in there,84.84848484848484,True
cuisine_16_hat_eng,"3. Diri Shela, Poul Fri - Yon Klasik Bon Gou","3. Diri Shela, Poul Fri - A Tasty Classic","3. Rice Shela, Chicken Fried - A Classic Delicious","3. Diri Shela, Chicken Fri - A Delicious Classic","3. Diri Shela, Poul Fri - A Delicious Classic",A tasty classic | A beloved classic,55.73770491803278,False
zile_165_hat_eng,Kwape lamizè,She scares off misery,Cut the mildew,Cut the misery,Cut the misery,She drives away hardship | She wards off misery,66.66666666666667,False
ahl_15573_hat_eng,genyen mwen bagay ki fèt,there are some things that happened,I have something designed,I have something that is made,I have something that is made,some things happened | there were some things that happened,68.96551724137932,False
ahl_3419_hat_eng,se pa penmen se ou pral achte ak riyan ou rele l,"it’s not a pen, it’s what you’re going to buy with your money that you call it",Don't mind if you're going to buy with riyan or call it ,"Its not the penmen, its you who will buy with the laugh you call it.","Its not the penmen, its you who will buy with the laugh you call it.","It’s not the name that matters, it’s what you can afford | Call it what you want, but money decides",55.93220338983051,False
ahl_14897_hat_eng,yo gwon nou yo ka bay sa,"they are big, they can give that",Our guests are able to provide this,Our elders can give that.,Our elders can give that,"they’re grown, they can handle it | they’re big enough to give that",61.904761904761905,False
ahl_8667_hat_eng,te vwip sa gen lòt jan ta di sanjò Espo ka di sipojan an wi,"that thing had another way of saying it, like “sanjò Espo” could say “sipojan,” yes",Vip that there are other ways to say sanjō Espo can say sipojan an wi,"If that were true, there would be another way that Sanjor Espo could say it, yes.","If that were true, there would be another way to say it, if Espo could say it like that, yes.",there was another way to say it | it could be said a different way,60.9375,False
ahl_11687_hat_eng,w travay l adi antye,you work all day,w work l adi whole,you work it all over,you work it all the time,you work all day | you work from morning till night,78.78787878787878,False
ahl_9665_hat_eng,sa m ap fè moun nan la.,what I’m doing to that person there,that's what I'm doing in there.,what Im doing to that person there.,what am I doing to that person there.,what I’m doing to that person there | what I’m doing to that guy there,97.14285714285714,True
ahl_13301_hat_eng,Boy elè chonm mal.,"Boy, he is very bad.",It's all wrong. Boy,The boy is really sick.,The boy is very sick.,That boy is really bad | He’s a bad boy,80.95238095238095,True
ahl_2180_hat_eng,enpi m fè sa sa,and then I did that that,My empire does this,and then I did that,and then I did that,and then I did that | so I did that,100.0,True
ahl_13114_hat_eng,piye bwa la,strip the wood there,the pine tree,Plow the wood,Plow the wood,strip the tree there | strip that tree,52.17391304347826,False
ahl_10382_hat_eng,yo ap ann bi kachimou,they are going to hide in the bushes,yo ap ann bi kachimou,they are asking for cashmere,they are going to kill Kachimou,they’re going to hide out | they’re going into hiding,61.224489795918366,False
ahl_14046_hat_eng,men rèl ben a mete yon zouren la,but Ben’s cry put a thorn there,But the bell rang and put a scarecrow there,but the wells cry put a hook there,but the well-oiled one put a hook there,but Ben’s complaint caused trouble | but Ben’s outcry stirred things up,47.61904761904761,False
ahl_5360_hat_eng,gen yon seride moun kal nan gagè a,there are a lot of people in the fight,There is a lot of human shell in the gagé,there are a number of people in the neighborhood,there are a lot of people in the fight,there are many people involved | a lot of people are in the mix,62.16216216216216,False
ahl_6610_hat_eng,sou devan tèt li,on the front of his head,on the front of his head,on the front of his head,on the front of his head,right on his forehead | at the front of his head,95.65217391304348,True
ahl_13622_hat_eng,Lè sa a ti clewo,Then the little Clewo,Then ti clewo,Then theres the little clewo,Then the little clewo,Then little Clewo | Then the little one,75.55555555555556,False
ahl_13654_hat_eng,epi w ap vann yo,and you will sell them,you will sell them and,and you are selling them,and you are selling them,and you’ll sell them | and you’ll be able to sell them,77.27272727272727,False
ahl_4610_hat_eng,sa w ap di l rad la,what are you telling him about the clothes,This will tell you the dress,what are you telling him about the clothes,what are you telling him about the clothes,what are you saying to him about the clothes | what are you telling him about the outfit,89.1566265060241,True
ahl_1121_hat_eng,repete lan kòm mwen,repeat it like me,to repeat as Im saying,repeat it as mine,repeat it as mine,say it after me | repeat after me,68.75,False
ahl_1359_hat_eng,On nèg pa egzant.,A man is not exempt.,On guy by exant.,A guy is not exempt.,A guy is not exempt.,No one is exempt | Nobody is above it,61.111111111111114,False
ahl_15495_hat_eng,ou di en,you say one,You say hello ,you said en,you said it,you’re telling me | say what you want,63.1578947368421,False
ahl_16889_hat_eng,paske yon antan k di y ap mache,because they say they are going to walk for a while,because an antan k di y ap mache,because for a while they say they are walking,because they are saying they are walking,because they say they’ll be walking for a bit | since they say they’re going to be on foot for a while,77.5,False
ahl_16508_hat_eng,e ou sòti?,and where are you from?,Where did you go?,and you came out?,and you came out?,Where are you from? | What part of town are you from?,53.333333333333336,False
ahl_13249_hat_eng,"M al Bèt, m renlè m al, m al.","I’m going to Bèt, I like to go, I’m going.","M al Bèt, m renlè m al, m al.","Im going to Bèt, Im going to let myself go, Im going.","Im going to Bèt, Im going back, Im going.","I’m heading out, I like going there | I’m on my way there, I enjoy going",59.79381443298969,False
ahl_495_hat_eng,pa koun nou mèt dimni ki bon ki pa bon,for now we can say what is good and what is not good,We do not know the difference between good and evil,Its not like we can choose between good and bad.,Its not like we can say whats good or not good.,"for now, we can tell what’s good and what’s not | for now, we can say what’s right and what’s wrong",56.81818181818181,False
ahl_13011_hat_eng,"bo we, li menm ap, li menm ak Kolobouy agan men m koulè.","look at it, it itself is, it itself and Kolobouy have the same color.","bo we, li ap, li and kolobouy agan but m color.","Well, you see, he himself is, he and Kolobouy are in the same color.","You see, he himself is, he and Kolobouy both have their own color.",They’re exactly the same | It’s the same thing,50.0,False
zile_48_hat_eng,« Kreyòl pale kreyòl konprann »,« Creole speaks creole understands, Creole pale kreyol konprann , Creole speak Creole understand , Creole speak Creole understand ,Creole people understand each other | Only Creole can truly understand Creole,85.18518518518519,True
ahl_14319_hat_eng,lò l bal gòl la sou yon koufran,when he scored the goal on a free kick,The golden bullet on a couffane,when he scored the goal on a crossbar,when he scored the goal on a coufra,when he scored on a free kick | when he put in the free kick goal,71.1864406779661,False
ahl_12708_hat_eng,"rad la pa lave, ni manke lave.","The clothes are not washed, nor need washing.","The garment is not washed, nor is it laundered.","The clothes are not washed, nor do they miss being washed.","The clothes are not washed, nor do they miss being washed.",It’s fine as is | No need to wash it again,47.61904761904761,False
ahl_5617_hat_eng,wè m dis ispann fè ki sa la?,Why did you stop doing that?,See what I'm doing here?,"see, what am I supposed to do here?","see, what am I supposed to do here?",Why did you stop doing that? | Why did you quit doing that?,47.61904761904761,False
ahl_16276_hat_eng,sòb di moun,sober-minded people,Peoples Money,tell people nonsense,tell people nonsense,level-headed people | sensible people,70.0,False
ahl_15819_hat_eng,epi tout moun la ap chare,and everyone there is carrying it,All the people will chare and,and everyone there is carrying it,and everyone there is carrying it,everyone’s in on it | everybody’s carrying their share,60.60606060606061,False
ahl_2335_hat_eng,li fin kominyen,he has finished communing,He ends up communicating,he finished communicating,he finished communicating,he has received communion | he has taken communion,60.0,False
ahl_3159_hat_eng,li fè sa l vle,he does what he wants,He/She does what he/she wants,He does what he wants.,He does what he wants,he does whatever he wants | he does as he pleases,81.81818181818181,True
ahl_14344_hat_eng,tavay ki travay w fè,the work you do,how do you work,the work you do,the work you do,your work | the job you do,82.75862068965517,True
ahl_1312_hat_eng,yo rele l deklòch,they call it deklòch,"This is called ""the alarm clock"".",they call it declouch,they call him DeKloach,they call it a mess | they call it chaos,76.92307692307692,False
ahl_2632_hat_eng,kichan yo konn fè kafè a pa fwa,how they sometimes make the coffee,The kitchens often make coffee at intervals,how do they sometimes make coffee,how do they sometimes make coffee,how they sometimes brew the coffee | the way they make coffee sometimes,78.78787878787878,False
ife_579_hat_eng,"Chak kretyenvivan se youn sous enèji ki ap vwayaje nan linivè. Plis enèji a pozitif, se plis li ap pèmèt nou grandi",Each human being is a source of energy moving through the universe.,"Every living thing is one source of energy that travels through the universe. The more positive the energy, the more it will allow us to grow","Every living Christian is a source of energy traveling through the universe. The more positive the energy, the more it will allow us to grow.","Every living creature is a source of energy traveling through the universe. The more positive the energy, the more it will allow us to grow.",Each person is a source of energy moving through the universe. | Every human being carries energy through the universe.,65.8119658119658,False
ahl_10118_hat_eng,esit se pa flè,this is not a flower,Do not hesitate to flower,but its not flowers,if it is not flowers,this isn’t a flower | it’s not a flower,81.08108108108108,True
ahl_13437_hat_eng,nan m pa te nan moun sa,I was not with that person.,I was not of that people,I wasnt in that person.,I wasnt in that person.,I wasn’t with that person | I wasn’t around that person,82.6086956521739,True
ahl_3907_hat_eng,li te dou al fon bagay,he was gentle at doing things,It's been a long time,he was gentle going deep into things,it was gentle going deep into things,he was gentle in everything he did | he did things gently,76.19047619047619,False
ahl_11002_hat_eng,li fon ti gen n,he had a little bit of depth,li fon ti gen n,He had a little bit of it.,He had a little hole there.,he was a bit deep | he had some depth,56.41025641025641,False
ahl_1030_hat_eng,ou konn se li,you know it’s him,Do you know it?,you know its him,you know its him,you know it’s him | you know it’s the one,93.75,True
ahl_13244_hat_eng,"yo rabe, rabe, rabe, yo pa vle bwo si menm si ou ba yo manje, ou ye, yo rabe.","they are greedy, greedy, greedy, they don’t want to drink even if you give them food, you know, they are greedy.","Wake up, wake up, wake up, they don't want to wake up even if you feed them, or you are, to wake up.","They grabbed, grabbed, grabbed, they dont want to go, even if you give them food, you are, they grabbed.","They steal, they steal, they steal, they dont want to steal, even if you give them food, you are, they steal.","they’re never satisfied, always wanting more | they’re greedy and ungrateful",45.16129032258065,False
ahl_4379_hat_eng,donk yo gen dwan di,so they have to say,don yo gen dwan di,so they have the right to say,so they have the right to say,so they have to say | so they must say,79.16666666666666,False
ahl_4342_hat_eng,li pran ve l ap redere,he took his vow to straighten up,It will take you to redirect,He took it and he was drawing it back.,He took it and he was straightening it out.,he decided to turn his life around | he vowed to straighten up,47.36842105263158,False
ahl_9920_hat_eng,"moun men rele on moun tou sa w fè devan nou ti moman tan, kou fè li l gitan fè l tou li men.","people even call a person too, whatever you do in front of us, a little while later, as soon as you do it, he has already done it too.","People call each other whatever you do in front of you moment by moment, of course it's easy to do it too.","people call someone everything you do in front of us a little while, as soon as you do it, he does it too, he does it too.","people call someone everything you do in front of us in a short time, when you do it, he does it too, he does it too.","People always copy what you do | Whatever you do in front of us, they do it right away",61.74496644295302,False
ahl_11017_hat_eng,mwen l satisfè satisè l anpan,"I am satisfied, satisfied with it.",I am satisfied satisfied ,I am satisfied with his complacency.,I am satisfied with his satisfaction at all.,I’m satisfied with it | I’m happy with it,68.96551724137932,False
ahl_11496_hat_eng,anpils maliti nan bouki,a lot of malice in Bouki,Maleficent impulses in bouki,the malicious impulse of Bouki,Malicious impulses in Bouki,full of malice | very malicious,51.162790697674424,False
ahl_7898_hat_eng,ba anba anba anba.,down below below below.,low to low to low.,"go down, go down, go down.",down below down below.,way down below | far down below,54.90196078431373,False
ahl_11048_hat_eng,Yo pa tout pitit,They are not all children,They are not all children,They are not all children,They are not all children,Not everyone is innocent | Not all of them are naive,61.53846153846154,False
ahl_9649_hat_eng,sa zò w ki jan,what are you like,This is how you know,how is your ear like that,how is your ear?,what are you like | what’s your personality like,61.224489795918366,False
cuisine_104_hat_eng,Li souvan sèvi nan resepsyon ak pati yo.,It is often served at receptions and parties.,It is often used at receptions and parties.,It is often served at receptions and parties.,It is often served at receptions and parties.,It’s a popular party dish | It’s often served at celebrations,69.23076923076923,False
ahl_3360_hat_eng,kiyan wè li l,how do you see it?,Kiyan see li l,how do you see it,how do you see it,What do you think? | How do you see it?,100.0,True
ahl_6439_hat_eng,"Wi, menm ba la, wi.","Yes, right there, yes.","Yes, yes, yes.","Yes, even down there, yes.","Yes, even down there, yes.","Yes, right there, yes | Yeah, right there, yeah",68.08510638297872,False
ahl_5693_hat_eng,m pa konnen bon,"I don’t know, okay",I don't know good,"I dont know, okay","I dont know, okay.","I don’t know, okay | I don’t know, alright",94.11764705882352,True
ahl_516_hat_eng,dat la pase,the date passed,The last day,The date has passed,The date passed,the deadline passed | it’s too late,73.6842105263158,False
ahl_3961_hat_eng,ou rive ton Eklari,you reached Eklari,Do you reach Tone Illumination,you reached Ton Eklari,you reached Ton Eklari,you made it to Eklari | you arrived at Eklari,74.4186046511628,False
ahl_11737_hat_eng,dòk si w ap di,so if you are saying,Dock if you will say ,so if you are saying,so if youre saying,so if you’re saying | if that’s what you mean,92.3076923076923,True
ahl_588_hat_eng,pa fwa yo konn,sometimes they know,They don't often know,Sometimes they know,Sometimes they know,sometimes they know | they know sometimes,100.0,True
ahl_1095_hat_eng,nan yo pa di konsa,they don’t say it like that,They dont say so,they dont say that,they dont say that,that’s not how they say it | they don’t put it that way,66.66666666666667,False
ahl_5046_hat_eng,twal ki konsa yo moun yo konn fè konta lonzè,cloth like that people usually make curtains with it,what kind of fabric are the people who are able to tell the tale of lonzer,what kind of cloth are those people who know how to tell stories about?,"cloth like that, people usually tell stories like that",good for curtains | curtain fabric,38.80597014925373,False
ahl_11891_hat_eng,pa isan ou konnen mwen men men jouye domino,you don’t know me but I play dominoes,You don't know me but I play dominoes,"Its not like you know me, but Im playing dominoes.","Its not like you know me, but Im playing dominoes.","you don’t know me, but I play dominoes | you may not know me, but I’m a domino player",72.72727272727273,False
ahl_5832_hat_eng,m pa konnen,I don't know,I dont know,I don't know,I don't know,I don’t know | I have no idea,91.66666666666666,True
ahl_3701_hat_eng,pa kadi lòt bay ankò,don’t give any more to others,Do not card other bay anymore,Dont let anyone else give anymore.,Dont let anyone else give anymore.,don’t share any more | stop giving it to others,56.71641791044777,False
ahl_8430_hat_eng,E Salèl fèyè ki tonn ap mache dèyè l,And the proud one who was walking behind him,E cellular sheet of tuna is walking behind it,"And Salèl, the leaf that grows, is walking behind him.","And Salèl, a leprechaun who is walking behind him",And the arrogant one following behind him | And the proud person trailing behind him,61.702127659574465,False
ife_513_hat_eng,"Pami etensèl souvnans ki rive jwenn mwen aswè a se Tajmahall, Lexington, Seacaucus, Dorchester, Hayott, Randolph ak Blue Hill ki viwonnen-m epi vin pale ak mwen sou chètout prezans ou.","The spartks of memories reaching me tonight, Tajmahal, Lexington, Seacaucus, Dorchester Hayat, Randolph and Blue Hill surround me and speak to me of your preciouS presence.","Among the sparkling memories that reached me this evening were Tajmahall, Lexington, Seacaucus, Dorchester, Hayott, Randolph and Blue Hill that overcame me and talked to me about your presence.","Among the sparkling memories that reached me tonight were Tajmahall, Lexington, Seacaucus, Dorchester, Hayatt, Randolph, and Blue Hill, which invigorated me and brought me to talk about your presence.","Among the sparkling memories that reached me this evening were Taj Mahal, Lexington, Seacaucus, Dorchester, Hayatt, Randolph and Blue Hill.","The sparks of memories that reach me tonight—Taj Mahal, Lexington, Secaucus, Dorchester, Hayat, Randolph, and Blue Hill—surround me and speak to me of your precious presence. | Tonight, the sparks of memory come to me, and Taj Mahal, Lexington, Secaucus, Dorchester, Hayat, Randolph, and Blue Hill gather around me, reminding me of your cherished presence.",77.77777777777779,False
ahl_882_hat_eng,men moun nan men lè l ap fè bayè l li trennen,"but the person, when he is yawning, he drags it out",The man's hand when he gives it to him is drawn to him,"but the persons hand when hes giving it to him, he pulls it","but the person in the hand when he is giving it to him, he pulls it",he really drags out his yawns | he takes forever to yawn,46.464646464646464,False
