id	label	cr	en
30	bad	Si non gade na pou yon pakèt gwo tèt bagay, k ap gade nou la yo plante, men yo ki jan yo rele yo?	If not, look at a bunch of big-headed things that are looking at us there planted, but what are they called?
31	bad	Donk, kijan yo di wou di yo rele yo lèt moun?	So, how do they say you said they call them people’s letters?
32	bad	men si sit yo pa rele yo lòd jan ankò	but if the sites don’t call them order anymore
33	good	ou pa konn kijan yo rele yo	you don’t know what they’re called
34	bad	sa k ap gade nan yo la se pa sèlman jwon dim nan yo rele yo	what is being looked at in them there is not only the yellow of the dime they call them
35	bad	yo gen lòd jan yo rele yo ankò	they have the order as they are called again
36	bad	men pou w mèt di m yo re.	but you can tell me they’re ready.
37	good	Kòm si m ta di	As if I were to say
38	medium	sòs ou di m nan se sa	the sauce you told me about is that
39	medium	se moun kesyon	it’s a matter of people
40	medium	men se pandan lò pran sa yo la	but it is while taking these things here
41	good	ou gade yo	you look at them
42	bad	ou sou di m yo rele lè byen wo ou konprann	you are about to tell me they call when very high you understand
43	bad	yo rele lmen gen yo konn rele yo lòd chantou.	they call it, but some people also call it chantou order.
44	medium	bon fasyon yo rele l montay	the way they call it a mountain
45	medium	ou rele l ankò	you call him again
46	bad	ou pa gen lòd jou ankò	You no longer have a day order.
47	good	pou di m yo rele l mòn	to tell me they call it a mountain
48	good	ou la konsa.	you are there like that.
49	medium	lò ap desann konsak li an rele sa	when he was coming down, he called it that
50	bad	se pa jit kanba nonmen etan w ap desann nan	it’s not just Kanba named while you’re going down there
51	bad	ti bay ak di desann nan Sòd sa k desannen pou konn plante sou li a la	the little bay and the descent in Sòd, the one that goes down to know the planting on it there
52	good	ki an rele l	what is his name
53	good	alò la se desann menm yo rele li	So that’s the descent itself, that’s what they call it.
54	medium	nan non se mande m ap mande yo	in the name of asking, I am asking them
55	medium	m ap konnen se desann yo	I will know it’s them coming down.
56	good	li pa gen lòt non toujou	he still has no other name
57	bad	lòt non Pa konprann sa m tou la	The other name doesn’t understand what I’m doing here.
58	bad	se m de on bagay.	It’s me, it’s one thing.
59	good	e sa la	and that’s it
60	bad	ou gen dwa sotan ba wab vini	you have the right to leave for wab to come
61	bad	ou gen dwa sotan lè e sotan lè a	you have the right to leave at the time and leave at the time
62	medium	men se pandan mwen menm se pa sa reyèlman m bezwen	but it’s while I myself, that’s not really what I need
63	medium	ki jan ou te karele	how did you get tangled up
64	bad	galò jan m konne je jan m dou?	how do i know how sweet my eyes are?
65	bad	en, mwen ou se sa ki jan, ki jan ou ti?	Well, me and you are like that, how are you?
66	good	an, se sa?	Oh, is that so?
67	good	Lè pa egzanp, w ap mache, epi gen de mòn, epi gwon ti wout ki pase ladann ki yon rele sa.	For example, when you’re walking and there are two hills, and there’s a little road that goes through them, what do you call that?
68	bad	Se konsya sèlmon yon rele li, fa gen lòt nou ankò ba li.	That’s why only one calls him, there are still others to give him.
69	bad	Bon se ride kote	Well, it’s a ride where
70	bad	ou wè yon pa kèt bay kan pou sa yo ki plante	you see a step not given to those who plant for that
71	medium	wè men gen tout kalte	see but there are all kinds
72	bad	ou pa janm wè lòt anyen ladan nan ankò	you never saw anything else in it anymore
73	good	ou pa wè jade ou pa wò anyen	you don’t see jade you don’t see anything
74	good	epi ki chon rele sa.	and what do you call that.
75	medium	Ou konn koupe laden, ou pou fè planch, ou konn bagay, se sa sèlman t genyen a, ki yon rele l?	You know how to cut lumber, you make planks, you know things, that’s all there was, what do you call that?
76	good	ki ann rele?	what should we call it?
77	bad	an, alò tout pye bay sa yo ansanm mele, on pa kèt, yo rele ou pa konn non ni?	So, then all these trees together are mixed up, one by one, they call you, don’t you know the name?
78	bad	pa tou sa non yon	not all of that no one
79	good	m tou wi	me too, yes
80	bad	m tou yo men ki an	I’m all of them, but which one?
81	medium	ki an yo rele tout ansanm	which they call all together
82	bad	yon dwat dou pa pase tèl pote bò kisa m ba konnen	a gentle straight does not pass such a thing, what should I know
83	good	kisa t ap de yo.	what were they saying about them.
84	bad	Si poze depi non sòti la	If you stop as soon as the name comes out there
85	bad	nou pral lichwis sou lari a lò gade	we will be lying on the street when looking
86	bad	ou pawò kennichaden se bay sa yo sèlman wafwè	you are not allowed to give those only wafwè
87	bad	gen tout kalte ni sa	there are all kinds of that too
88	good	gen yon fè.	there is an iron.
89	bad	Fè m pa konnen gen sa ou gen dwa se koupe yo koupe yo boule	Don’t let me know there’s anything you’re allowed to do except cut them, cut them, burn them.
90	bad	gen sa gen yo koupe yo fè plan yo	they have to cut them to make their plans
91	bad	gen sa se keyou	there is this is keyou
92	bad	sa sèlman t gen kichon m ap rele l.	that was the only thing I was going to call him.
93	good	yo ta kab rele yon bay konsa	they could call it something like that
94	good	wou wou wou	woof woof woof
95	bad	sa yo di a se konsa yo rele l di	what they say is that’s what they call it, hard
96	good	ok konsa sèlman yo di	okay, that's just what they say
97	good	tipose ke wou jis nan fon an la	suppose you’re just down in the valley there
98	good	enti l afini	until it is finished
99	bad	wou wou Ou chwan nou	woof woof You choose us
100	bad	on ti pote	a little bit brought
101	bad	w ap vin bò isi a ki jan m ap rele l.	you are coming over here what should I call him
102	good	Li pa gen lòt non.	He has no other name.
103	medium	Ou konn pa egzan pou yon machin ap kouri, bò wout.	You know, for example, a car is running by the roadside.
104	good	Yo, epi etan lap kouri konsa l tonbe toubou anba, kote l tonbe ak jann rele.	And, while he was running like that, he fell headlong, where he fell and cried out.
105	medium	konsa sèlman yo rele li, kounmèt di m nou, an, se pa alò la, m pa, m pa konnit la.	That’s just what they call it, now tell me, uh, it’s not there, I don’t, I don’t know there.
106	bad	Men, se pondan li pa plat anpil long, kote l tonbe a, wè tou, tou kote l tonbe a men mou.	But, it’s a pendant, it’s not very flat, long, where it fell, see too, all around where it fell, but soft.
107	medium	M pa konnen men	I don’t know, but
108	medium	si pose ke ou an kote	if suppose that you are in a place
109	good	lò fè sògade	when it gets dark
110	medium	m pa konn ti se la pi tonbe ou yen bagay	I don’t know if that’s the thing that fell or something.
111	bad	pou gado wè l lagou chan.	to see him in the field
112	bad	Nou ba yo sou yo lage pi yo ladan nou ka sou tonbe, sou tonbe ladan nou enpi wouz.	We gave them on them to let go more of them in there, we can fall, fall in there and red.
113	bad	nou ba gen lòd jwon rele l ankò.	We don’t have the order to call him again.
114	bad	pa ekzanp ou wè e Mòn la ap gado	for example you see and the mountain is watching
115	good	men gen yon ti kote ou ka antre	but there is a little place you can enter
116	bad	ou pare la plou rendwa menm dòmi ladan ni menm	you are ready there more late even sleep in it even
117	good	ki chan yo rele sa?	What do they call that field?
118	medium	Se vè li, kay, non, se nan Mòn nan menm, se tè, an?	It’s true, man, no, it’s in the mountain itself, it’s land, huh?
119	bad	e zòn sa yo ap gade la yo va egzanp ou ka plante ladan yo a ki an yo rele ou	and those areas are looking there they will be examples you can plant in them that are in them they call you
120	good	wi li rele latè	yes it is called the earth
121	bad	men se pandan lè se yon nan on mòn mò nou ye	but it is while it is one of the dead mountains we are on
122	medium	epi kougou yon se ride kote ou ka plante ladan li	and a ridge where you can plant in it
123	medium	li rele latè vre	it is called the earth indeed
124	medium	se vre sò plante kote ou fouk pou re bay lasè latè	it is true fate is planted where you must give back the earth’s sweat
125	bad	men l bon chan yo rele li	but here is the good song they call it
126	good	m pa konn gijon yo rele li	I don’t know what they call him.
127	bad	tès pou konn lakkan	test to know the lockout
128	good	gen kote moun yo rete	there are places where people live
129	bad	yo pa wè avèk gwo tèt bay sa yo menm	they don’t see with a big head giving those same ones
130	bad	ou ka di li fè sòdi a	you can tell him to do the exit
131	bad	men sepandan dlo a	but however the water
132	good	dlo a li menm	the water itself
133	medium	sa l fè la menm	what is he doing there anyway
134	bad	èske l ka deplase paske l kote lye a	Can it move because it’s where the place is?
135	bad	pa gen mwayen kou li deplase	there is no way when he moves it
136	bad	donkou di dlo a	so say the water
137	bad	Ou pa gen lòd chon w ka rele l ankò, ou di dlo a ki jan la?	You don’t have the order, man, you can call him again; how do you say the water is?
138	bad	Bou, ou pa gen lòdi jan ankò, ou ka di li?	Bou, you don’t have the same order anymore, can you say it?
139	good	e pa fwa ou fè sa ou ponn wè ou n dlo	and every time you do that you’ll see you’re in the water
140	good	enpi dlo a pa rete anplas	and then the water doesn’t stay in place
141	good	enpi ou wè lap fè sa konsa	and then you see he’s doing it like that
142	good	kisò w ap di la?	What are you saying?
143	bad	nou lap desanm, l ap pouwi.	It’s December, it’s getting dark.
144	bad	Si pa egzanp la, yo pa konn moun di konsa men dlo a ap tèl bagay nan chemen an, hè?	If, for example, they don’t know people say like that, but the water is doing such a thing in the way, huh?
145	bad	yo pa konn di koule tou.	they don’t know how to say color either.
146	bad	Bon, non wè sa ki pase anba la, li gen dwo ladenn l ap bagay ki yon yo rele l?	Well, didn’t you see what happened down there, does he have the right to do the thing they call it?
147	good	Wi men se pa dlo a	Yes, but it’s not the water.
148	medium	non se kote l pase a la l ap rale a se	no, it’s where he passed by, that’s where he’s pulling it from
149	bad	non se nan tè li pase reyèlman	the name is in the ground it really passed
150	bad	men ou pa konn lè moun yo di yo pral lave tè l kote	but you don’t know when people say they’re going to wash the ground where it is
151	good	yo pral lave nan dlo men ki jan yo rele kote yo pral lave.	they will wash in water but what is the place where they will wash called
152	good	Gen de kote pa ekzant gen dlo	There are places that don’t have water.
153	medium	dlo a fò ou pa kab rete sou bezwen al pa lòt bò e pou an nik rete pou jan benenpòt kote	the water is so strong you can’t stay on it, you have to go to the other side and just stay wherever it is possible
154	bad	donk kote ou konn ou konn rete pou al pase pa lòt kote ak jan reyali.	So where do you usually stay to go through somewhere else with Jan Reali.
155	medium	kote pou pase a	where to pass by
156	bad	kote pou pase a men m t ap touche m	where to pass by but I was touching myself
157	good	nan se pa chemen paske chemen anson bagay ou mache ou fè	it’s not the path because the path is something you walk, you make it
158	bad	men m t ap tou lòt bò dlo a janm pa ti	but I was over on the other side of the water, my leg was not small
159	good	moun t ap touche m	people were touching me
160	good	m t ap touche m	I was touching myself
161	good	men m touche m	but I touched myself
162	medium	menm touche m	even touch me
163	good	yo Moun t ap pale de on tèt moun	They were talking about a human head
164	good	Si ou pa fè byen menm	If you don’t do well at all
165	medium	ou pa chachou yon ti kote pou kanpe pou l pa frape fò nan tèt ou menm	you didn’t look for a little place to stand so it wouldn’t hit you hard in the head yourself
166	bad	yo par rele l kouran yo pa konn rele lòd jan ankò yo par rele l sou	they don’t call it current anymore they don’t call it order anymore they don’t call it on anymore
167	bad	anmen bon e donk si mando ki an sa rele wap di se yon se	well good and so if mando who is in this called you say it is a
168	bad	gende fwa La ou konn non dlo	Sometimes there you know the water name
169	bad	enpi lò nan dlo a	and then gold in the water
170	medium	ou konn wè Gonceride Timoun ki se la yo prefere Benyen paske yo ka plonje jiskanba	you know Gonceride Children who are there prefer to bathe because they can dive all the way down
171	good	yo ka naje	they can swim
172	bad	yo ka voye woup ki jan ou rele kote sa a.	they can send a group what do you call this place
173	bad	Donk si ou t ap di l fon, pa Benyen ladan ki sòt ap di.	So if you were telling him it was deep, don’t bathe in it, what kind of thing are you saying?
174	medium	Men ti moun	Here is the child.
175	bad	ou woun ti moun ki pral li pa koun zòn nan	you are a child who is going to read not around the area
176	bad	pi l kouri l pral benyen ladan	the more he runs, the more he will bathe in it
177	medium	tè l bagay	the thing there
178	good	pa benyen ladan	don’t bathe in it
179	good	li fon ou pa di basen sa a fon	it is deep or you don’t say this basin is deep
180	bad	ta lè a nou ta pou ou nan mitan yon demòn wè	by then we would be for you in the middle of a demon, see
181	good	epi gwon kote se lè lapri tonbe sèlman dlo pase ladan l	and in the big place, it is only when the rain falls that water passes through it
182	good	en pouv ou vle di yon timoun pa ladan l	it can mean a child is not in it
183	good	sòw ap di timoun nan	so you’re telling the child
184	bad	ou pa konpò	you don’t understand
185	good	an avin nan	in the plane
186	medium	nou an di son kote bou konn wè dlo ladan	we are in a place where you can often see water there
187	bad	men lè lò lè pay egsanpon lè konsa	but when the time comes, the straw is exposed like that
188	bad	ou gado w pa wè kraz dlo ladan	you look you don’t see water breaking in it
189	good	nou konn fè sa nou di	we know how to do what we say
190	good	ou pa t tande anyen	you didn’t hear anything
191	bad	enfe yon ti mann ton ou nan dòmon	put a little mann ton in your demon
192	bad	Ou fou pou reveye men la pi t ap tonbe	You’re crazy to wake up, but the rain was falling.
193	medium	em pou tande bri bri sòdi dlo a genyen	I’m here to hear the sound the water makes.
194	good	wè ki jan ou di langò	see how you say langò
195	bad	apre sòdi alva ou pa di langò	after Alva’s death, you don’t say anything
196	bad	ou pa di lòt bay ankò	you haven’t told the other one yet
197	good	l ap bri	he is making noise
198	medium	l ap ba.	He is giving.
199	good	ou te desenn	you drew
200	bad	ou te dim sa de a	you told me that about two
201	good	ou te dim on bagay talè a ou bliye	you told me something earlier and you forgot
202	medium	men sepandan tou debò bò dwo bay la	but however also on the right side of the bay
203	bad	ou te dim li	you told me it
204	bad	Wode m li desann	My brother, he went down
205	bad	li avin nan fò non a	he came to the fort, not the name
206	good	se pa sa w te di yon	that’s not what you said, is it
207	good	ou debri dlo a	you drain the water
208	bad	bri a dlo ap fè ou sò di lap fè	the noise of the water is making you say what it is doing
209	good	bri lap fè	the noise it makes
210	bad	li devòde paske ou tande lap fè bri	he is overflowing because you hear it making noise
211	bad	ou di lap ou	you say it to him
212	medium	ou tande bri a genyen lè lap	you hear the noise it makes when it is running
213	medium	Kou te di l byen t alè a, kisa l ap fè?	If you had told him well in time, what would he do?
214	bad	l ap bonde	he is jumping up and down
215	bad	l ap bonde sou di yon bagay la ta alè a kòm si se an bay ki nan dife	he is insisting on saying that something would be on time as if it were in the fire
216	good	an pran pou ka repete l mwen	I’m taking it so I can repeat it myself.
217	good	kisa dlo ap fè la?	What is the water doing there?
218	bad	l ap bouyi, pou sonje, ou di m pa ye.	I’m boiling, to remember, you told me I’m not.
219	bad	pa egzanp nou won kote an m di bay la laj	for example we round the place where I say give the age
220	medium	li gen dlo ladan nou won pran	it has water in it we can take it
221	bad	epi yon moun kòm se m ta di w ka menm bay sou kanlòt sou li	and someone like I would say you could even give on another one about it
222	bad	men l pa ka rese fwa gwo gwo bato	but he can’t receive big big boats
223	bad	ki yon rele sa	what a call that is
224	bad	donk ou di m se yon.	so you’re telling me it’s a.
225	good	gen dlo y	there is water there
226	medium	men sepandan e dlo ap laj laj	but however, and the water is spreading wider and wider
227	bad	men si non pran ti ti kal sa ou ka li ka plen dlo ladan nou fè bèt brè ladan nou ki yon nou reva.	but if not take this little bit you can it can fill with water in it we make animals drink in it which one we dream of
228	medium	Eki yon rele l, ou ka rele l ankò?	If you call him once, can you call him again?
229	bad	ouy se sa men ou te bon moun lòt nou	yes that’s it but you were a good person the other one of us
230	bad	ou bon moun lòt nou la	you are a good person, we are there
231	bad	di zanou ka dimon	tell zanou can demon
232	bad	ou repete m tande	you repeat me I heard you
233	good	m ti basen	my little basin
234	good	nou kounye la	we are here now
235	good	nou nou kote	where are we
236	good	men dou gen on bèl ti tou	but you have a nice little hole
237	bad	on pran ki laj tou.	one takes what age too.
238	good	se lè pa ekzanp la pli tonbe	it’s when, for example, the rain falls
239	good	epi lè w ap mache	and when you are walking
240	bad	epi pye ou yon pakèt baga y ap kole anba pye ou fè sou l yo lwa.	and your feet a lot of things will stick under your feet make them laws.
241	medium	pou l wou se pikèt bwa wap pran pou retire l, yo jen yo rele sa.	to remove it, you take a wooden peg, that’s what they call it.
242	bad	Pa gen lòd jen yo rele sa?	Isn’t there an order they call this?
243	good	Okay, on va gen pwoblèm.	Okay, we're going to have problems.
244	good	pou konn fè sa	to know how to do that
245	medium	ou fè sa ou plap	you do what you want
246	good	ou foure pye ou non bagay epi pye ou desann	you put your feet on something and your feet go down
247	bad	se ki sa ou renrele lontou	what do you always call yourself
248	good	se yon twou	it is a hole
249	bad	men se pandan li plen la e labou ou so di men ladan lont	but it is while it is full there and the mud or so says but in it long
250	good	se yon lagon	it is a lagoon
251	bad	se yon lagon sou antre ou pap antre nèt non men ou gen dwa kote yo bouye ladan lont	it’s a lagoon at the entrance; you won’t go all the way in, no, but you can go where they boil in there for a long time
252	bad	ou reti yo li.	you keep them there.
253	medium	Abè, yon ma ki sa?	Well, what is this?
254	good	Egzanp lè wa ale pou w al pran dlo.	Example when you go to get water.
255	good	Ou tèlman an wè kras sou dlo a dlo a jòn ou pa pran l	You’re so used to seeing the dirt on the water, the water is yellow, you don’t take it.
256	good	epi w al monte piwo kote ou pran dlo a	and you go up to where you took the water
257	good	ou gen dwa gade figi ou ladan l	you have the right to look at your face in it
258	good	ki jon di dlo a ye?	What color is the water?
259	good	dlo a ki jon di li	the water that is yellow, they say
260	bad	gen ou kote ou an pran lò gade dlo a	you have where you are taking gold to look at the water
261	bad	ou w pa kèt etè	you are not a little bit there
262	medium	ou pa kèt kras bay yo ladan ni men	you don’t give them any crumbs in it either
263	good	ou pa pran dlo a la	you didn’t take the water there
264	good	se dlo a.	It is the water.
265	medium	Obezwen pou bwè	Need to drink
266	good	w al pi devan w al pran dlo a	you go ahead and get the water
267	good	poukisò w pran dlo a	why did you take the water
268	good	se paske se yon dlo kèlè	it’s because it’s a bitter tear
269	medium	Nou an gen pa egzan voun seride kote lò gade tout sou bò kannal la	We have, for example, a series where they look all along the canal side
270	bad	tout anba kannal la ou an seride ti bagay ki toufèt	all under the canal you are in a little thing that is already done
271	good	ki anba dlo a ou anprann	under the water you learned
272	bad	ki glise lò met pio sou dwo ka tonbe	which slips when you put the pickaxe on the right can fall
273	good	ki voun rele yo.	what do you call them.
274	bad	limon, ten lòd yon ka rele l ankò.	lemon, maybe one can call it again.
275	good	ou ta plante bay la	you would plant the bay tree
276	good	men sepandan ou konnen tè a on jan li konn bò pwoblèm	but however you know the land is somehow troublesome
277	medium	Kote wè kote sa a, li gra, li gra, men se ki jan an de de tè li ye, tè plenn, tè senp.	Where you see this place, it is fat, it is fat, but it is what kind of land it is, flat land, simple land.
278	medium	an, m pa konnen, men gen kote l pa ka fè plant la, lò plante plant la.	I don’t know, but there are places where you can’t plant the plant when planting the plant.
279	medium	Men sepandan etè sa ki fè plant la byen Igra	But however, it is this that makes the plant grow well
280	bad	wè m konnen Igra	see me know Igra
281	bad	men kote t fè bayè la byen an ki yon ap byen	but where the fence is well there is one that is well
282	good	yon lòt bagay	another thing
283	medium	ti moun yo konn gen al nan tout tout bò kote yo la	the children usually go all around them there
284	medium	yo konn ranmase yon seride ti bagay pou yo jouye pench	they used to gather a series of little things to play pench
285	good	ki jan yo rele yo.	What are they called?
286	good	Kou fè sa ou tchap ou piye epi	As soon as you do that, you’ll be robbed and looted.
287	bad	pou mete l nan plamen ou en pou tchap ou piye	to put it in your palm and to cover your head and plunder
288	bad	pou pare l sou do	to prepare it on the back
289	good	pou ou wè te ti grann ki rete yo	so that you can see the little old women who stayed there
290	bad	pou wè an lè ranmase opakri an yo rele ti bay sa a y ap fè a.	to see when they pick up the opakri they call this little bay they are making.
291	bad	Nan yon lye wè	In a place to see
292	good	yo fè sa	they did that
293	good	wè yo fè sa	see them do that
294	medium	apye l la	on foot there
295	bad	yo mete l la l	they put it there, him
296	bad	nan ti ti grenn bay yo diwi si sou kenbe l la	in the little grains they say rice if you keep it there
297	bad	pwa egizanp yo ka bay ou nou	the example weights they can give you us
298	bad	ou kouli si son pou gwo lap kase tèt ou nou	you’ll be in trouble if the sound is too loud it will break your head for us
299	bad	kòm li yon tivan piti se konsal rele ki wòch	since it is a little breeze, that’s what they call a rock
300	bad	te pa ton bagay ki zo	it wasn’t something that was bone
301	good	se avèk zo	it is with bones
302	good	men sa a se men yo wi te m pran ba w pa lò la	but this one is the one they had me take for you, not the other one
303	good	ou konn fè sa	you know how to do that
304	good	Pa gen dlo	There is no water.
305	bad	pou ou nou ou nou rivye ou konn gadon seride bay sa yo yo yo blayi tou blanch men lè yo pi gwo konpran l	for you us you us rivye you know gadon seride give those they they spread all white but when they are bigger understand it
306	bad	epi wè yo bayi tou blanch li yon rele tout bay sa yo ki ansanm nan a	and see them give him a white one, a call to all those who are together in it
307	good	lò lò pran li	when he took it
308	good	ti m pran li.	I took it.
309	bad	Mwen ou n gen dwa bay kase tèt wavèk li	I have the right to break his head with it
310	bad	gen ròch men tout ansanm lògade ou di wou	there are rocks but altogether look at you say you
311	good	tèl bagay bèl	such a beautiful thing
312	good	di warib lan	say the warib
313	good	wi se wou	yes, it’s you
314	bad	se pa chak m pale ou	I’m not talking to you every time.
315	bad	men se tout ansanm ou pa konn di moun pa esanp m ap tann rad sou sou wòch la yon	but altogether you don’t usually tell people no, for example I’m waiting for clothes on the rock there, one
316	bad	sou wòch yo men l ab	on the rocks but it is ab
317	good	sa m bezwen an	what I need
318	good	men lò gade tout wòch sa yo ansanm	but when you look at all these rocks together
319	bad	prè moun yo konn rele lòd yon chan kanmèm	near the people who are used to calling the order of a field of canna lilies
320	good	reva gen lòd jan yo konn di l ankò.	dreams have order, as they say.
321	bad	Si non pran pa ekzant t alè an	If not, take it on time.
322	bad	on te di pou wè yon pakèt ansanm	they said to see a bunch together
323	good	ou di ki jan rele	what did you say your name was
324	good	te montou an yon ti piti	you were riding on a little one
325	bad	pou konn wè yon seride gwo gwo	to sometimes see a very big series
326	bad	Se konsya fèlman yo rele w	That’s why they call you so much
327	bad	gade tèl bagay gade ki sèo ki janm w ap di	look at such a thing, look at what kind of sister-in-law you are saying you are
328	bad	ouye yon m konnen wòche	hey, I know you’re rough
329	bad	ouye gade seride bwò wòche.	hey look at the side of the rock.
330	bad	Yon kond li, bwoche, nou ka di sa a se, bwoche, wi sa se, galèt, an ou rele l konsa tou?	A condom, yes, we can say that is, yes, that is, a pancake, or do you call it that too?
331	good	ou gendwari li nou, galèt, ou gendwari li l konsa tou?	Do you have it for us, galèt, do you have it like that too?
332	good	Ou konn wè pa egzanp	You know, for example
333	good	ou gen yon tè	you have land
334	good	empi yon ti bon mann tan lò w gade ou wè tè yon jan e mi fann fann	and a little while later when you look you see the ground kind of cracked and split apart
335	bad	empi pa fwa menm sou mete pou yo ladann li kadesan nan avòvò	sometimes even on putting it in there it goes down in the avòvò
336	good	ki yon ka rele sa.	what can you call that.
337	medium	e lò fèk parèt se pa sòdiè wè	and when it first appeared, it wasn’t easy to see
338	good	ou wè tè a	you see the ground
339	bad	pòm ki m ta di ou pran sa	the apple that I would tell you to take that
340	good	ou wè ligon tijan yon pakèt mak ladan l	you see the ligon has quite a lot of marks on it
341	bad	yon pakèt mak	a bunch of brands
342	good	sou ta mete pou yo konsa ladan li	if you would put it in there for them like that
343	good	li ka desann.	he can go down.
344	bad	Si ou pou komete pye ou gado wè makmak yo, ki jan ablitè a ye la.	If you are going to commit your feet, look at the marks, how the ability is there.
345	good	e a fanm	and the woman
346	medium	m kwò w gwo lòd chan ou kadil tou	I believe your room is very messy too
347	bad	pa fwa e li konn	sometimes and he knows
348	good	li konn fanm	he knows women
349	good	men pa fwa tou.	but sometimes too.
350	bad	sou dimoun wab di li ki sa la, kou pa konn, kou pa fin kou konn zanat ou la?	people will tell him what that is, if he doesn’t know, if he doesn’t know your trade?
351	good	m ta pran	I would take
352	good	m ta pran tè sa	I would take that land
353	good	lè m leve demen maten	when I wake up tomorrow morning
354	bad	m wètè a	I was waiting for it
355	good	bon tijan ee	good little tea
356	medium	jann li al pa rete konsa	I don’t know, he went and didn’t stay like that
357	good	li on tijan desann	he went down a little
358	good	desann pi ba.	go lower.
359	bad	m ap di moun lan tè a tè yon kijan la	I’m telling the person there how it is.
360	bad	ou va konn li bi men	you will know it well
361	bad	li bi men.	He is good.
362	good	N ap rivon	We are arriving
363	good	kote ou konn wè moun yo ap peche	where you usually see people fishing
364	bad	ou konn wè gwo bato sou liyen sou dlo ap	you know see big boats on the line on the water are
365	medium	ap bagay men gen sou kote a	there are things on the side
366	medium	kote moun yo konn eee kanpe a	where people usually stand there
367	bad	ki an yo rele la.	what they call there.
368	medium	moun konn m rete ladan yo y ap banyen yo kouche sou li ki jen yo rele la	People know I live there, they bathe there, they lie on it, what do they call it there?
369	good	wi se sab	yes it is sand
370	bad	men se pa sou sa yo kouche a	but that’s not what they’re lying about
371	medium	ki jen yo rele tout kote sa yo ka rete	how can they call all these places where they can stay
372	bad	yo bay la	they gave it there
373	bad	m pa konn sou wè byen pè kann sòdi ason M ap bagay ki sou lanmè w ka baray sou li	I don’t know about seeing well, but I’m afraid of the sea; you can block it with something.
374	good	men se sou kote lanmè a ou konprann gon pakèt plas	but it’s by the seaside, you understand there are a lot of places
375	medium	epi jan di m nan ou wè m dadi gazon	and as I told you, you see me, I’m on the lawn
376	bad	yabò labè l	there above there below it
377	bad	wi wi men li pa li pa gen zèb sou li nan.	yes yes but it doesn’t it doesn’t have grass on it there.
378	bad	men si se yon pote ki laj moun Nan Dwa	but if it is a carrier who is of legal age in Nan Dwa
379	good	wi se Boudmen	yes, it is Boudmen
380	bad	mèt di m nou kounya a	tell me now
381	good	se pa vwal	it’s not a veil
382	good	anki jan yo rele li?	what is it called?
383	good	Bon, pi jan yo rele sa yo kouche sou li a kounye a?	Well, what do they call the thing they’re lying on now?
384	bad	yo kouche men ti ba yo lò kouche sou li ou leve l kole nan kò	they lay down but the little bar when it lies on it you lift it stuck to the body
385	bad	ti granm yo kole nan kò	the little old men are stuck in the body
386	good	pi jan yo rele yo?	What are they called?
387	bad	ou te te ou te dim li, gazon?	did you tell me it, lawn?
388	good	non, se pa gazon.	No, it’s not the lawn.
